"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz0009729t","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz0009729t-1-master.tif","240","","","text","","","","","","page 221","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009729t"
"Picart (Bernard) Collection","ark:/21198/zz000972rj","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000972rj-1-master.tif","241","","","text","","","","","","page 222","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000972rj"
"Picart (Bernard) Collection","ark:/21198/zz000972s2","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000972s2-1-master.tif","242","","","text","","","","","","page 223","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000972s2"
"Picart (Bernard) Collection","ark:/21198/zz000972tk","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000972tk-1-master.tif","243","","","text","","","","","","page 224","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000972tk"
"Picart (Bernard) Collection","ark:/21198/zz000972v3","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000972v3-1-master.tif","244","","","text","","","","","","page 225","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000972v3"
"Picart (Bernard) Collection","ark:/21198/zz000972wm","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000972wm-1-master.tif","245","","","text","","","","","","page 226","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000972wm"
"Picart (Bernard) Collection","ark:/21198/zz000972x4","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000972x4-1-master.tif","246","","","text","","","","","","page 227","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000972x4"
"Picart (Bernard) Collection","ark:/21198/zz000972zn","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000972zn-1-master.tif","247","","","text","","","","","","page 228","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000972zn"
"Picart (Bernard) Collection","ark:/21198/zz0009730n","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz0009730n-1-master.tif","248","","","text","","","","","","page 229","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009730n"
"Picart (Bernard) Collection","ark:/21198/zz00097315","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00097315-1-master.tif","249","","","text","","","","","","page 230","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097315"
"Picart (Bernard) Collection","ark:/21198/zz0009732p","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz0009732p-1-master.tif","250","","","text","","","","","","page 231","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009732p"
"Picart (Bernard) Collection","ark:/21198/zz00097336","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00097336-1-master.tif","251","","","text","","","","","","page 232","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097336"
"Picart (Bernard) Collection","ark:/21198/zz0009734q","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz0009734q-1-master.tif","252","","","text","","","","","","page 233","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009734q"
"Picart (Bernard) Collection","ark:/21198/zz00097357","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00097357-1-master.tif","253","","","text","","","","","","page 234","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097357"
"Picart (Bernard) Collection","ark:/21198/zz0009736r","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz0009736r-1-master.tif","254","","","text","","","","","","page 235","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009736r"
"Picart (Bernard) Collection","ark:/21198/zz00097378","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00097378-1-master.tif","255","","","text","","","","","","page 236","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097378"
