"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz000980p0","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000980p0-1-master.tif","11","","","text|~|still image","","","","","","page 001","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000980p0"
"Picart (Bernard) Collection","ark:/21198/zz000980qh","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000980qh-1-master.tif","12","","","text","","","","","","page 002","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000980qh"
"Picart (Bernard) Collection","ark:/21198/zz000980r1","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000980r1-1-master.tif","13","","","text","","","","","","page 003","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000980r1"
"Picart (Bernard) Collection","ark:/21198/zz000980sj","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000980sj-1-master.tif","14","","","text","","","","","","page 004","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000980sj"
"Picart (Bernard) Collection","ark:/21198/zz000980t2","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000980t2-1-master.tif","15","","","text","","","","","","page 005","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000980t2"
"Picart (Bernard) Collection","ark:/21198/zz000980vk","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000980vk-1-master.tif","16","","","text","","","","","","page 006","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000980vk"
"Picart (Bernard) Collection","ark:/21198/zz000980w3","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000980w3-1-master.tif","17","","","text","","","","","","page 007","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000980w3"
"Picart (Bernard) Collection","ark:/21198/zz000980xm","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000980xm-1-master.tif","18","","","text","","","","","","page 008","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000980xm"
"Picart (Bernard) Collection","ark:/21198/zz000980z4","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000980z4-1-master.tif","19","","","text","","","","","","page 009","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000980z4"
"Picart (Bernard) Collection","ark:/21198/zz00098104","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz00098104-1-master.tif","20","","","text","","","","","","page 010","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098104"
"Picart (Bernard) Collection","ark:/21198/zz0009811n","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz0009811n-1-master.tif","21","","","text","","","","","","page 011","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009811n"
"Picart (Bernard) Collection","ark:/21198/zz00098125","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz00098125-1-master.tif","22","","","text","","","","","","page 012","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098125"
"Picart (Bernard) Collection","ark:/21198/zz0009813p","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz0009813p-1-master.tif","23","","","text","","","","","","page 013","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009813p"
"Picart (Bernard) Collection","ark:/21198/zz00098146","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz00098146-1-master.tif","24","","","text","","","","","","page 014","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098146"
"Picart (Bernard) Collection","ark:/21198/zz0009815q","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz0009815q-1-master.tif","25","","","text","","","","","","page 015","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009815q"
"Picart (Bernard) Collection","ark:/21198/zz00098167","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz00098167-1-master.tif","26","","","text","","","","","","page 016","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098167"
"Picart (Bernard) Collection","ark:/21198/zz0009817r","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz0009817r-1-master.tif","27","","","text","","","","","","page 017","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009817r"
"Picart (Bernard) Collection","ark:/21198/zz00098188","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz00098188-1-master.tif","28","","","text","","","","","","page 018","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098188"
"Picart (Bernard) Collection","ark:/21198/zz0009819s","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz0009819s-1-master.tif","29","","","text","","","","","","page 019","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009819s"
"Picart (Bernard) Collection","ark:/21198/zz000981b9","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000981b9-1-master.tif","30","","","text","","","","","","page 020","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000981b9"
"Picart (Bernard) Collection","ark:/21198/zz000981ct","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000981ct-1-master.tif","31","","","text","","","","","","page 021","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000981ct"
"Picart (Bernard) Collection","ark:/21198/zz000981db","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000981db-1-master.tif","32","","","text","","","","","","page 022 *image error","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000981db"
"Picart (Bernard) Collection","ark:/21198/zz000981fv","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000981fv-1-master.tif","33","","","text","","","","","","page 023","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000981fv"
"Picart (Bernard) Collection","ark:/21198/zz000981gc","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000981gc-1-master.tif","34","","","text","","","","","","page 024","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000981gc"
"Picart (Bernard) Collection","ark:/21198/zz000981hw","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000981hw-1-master.tif","35","","","text","","","","","","page 025","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000981hw"
"Picart (Bernard) Collection","ark:/21198/zz000981jd","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000981jd-1-master.tif","36","","","text","","","","","","page 026","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000981jd"
"Picart (Bernard) Collection","ark:/21198/zz000981kx","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000981kx-1-master.tif","37","","","text","","","","","","page 027","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000981kx"
"Picart (Bernard) Collection","ark:/21198/zz000981mf","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000981mf-1-master.tif","38","","","text","","","","","","page 028","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000981mf"
"Picart (Bernard) Collection","ark:/21198/zz000981nz","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000981nz-1-master.tif","39","","","text","","","","","","page 029","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000981nz"
"Picart (Bernard) Collection","ark:/21198/zz000981pg","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000981pg-1-master.tif","40","","","text","","","","","","page 030","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000981pg"
"Picart (Bernard) Collection","ark:/21198/zz000981q0","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000981q0-1-master.tif","41","","","text","","","","","","page 031","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000981q0"
"Picart (Bernard) Collection","ark:/21198/zz000981rh","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000981rh-1-master.tif","42","","","text","","","","","","page 032","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000981rh"
"Picart (Bernard) Collection","ark:/21198/zz000981s1","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000981s1-1-master.tif","43","","","text","","","","","","page 033","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000981s1"
"Picart (Bernard) Collection","ark:/21198/zz000981tj","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000981tj-1-master.tif","44","","","text","","","","","","page 034","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000981tj"
"Picart (Bernard) Collection","ark:/21198/zz000981v2","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000981v2-1-master.tif","45","","","text","","","","","","page 035","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000981v2"
"Picart (Bernard) Collection","ark:/21198/zz000981wk","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000981wk-1-master.tif","46","","","text","","","","","","page 036","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000981wk"
"Picart (Bernard) Collection","ark:/21198/zz000981x3","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000981x3-1-master.tif","47","","","text","","","","","","page 037","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000981x3"
"Picart (Bernard) Collection","ark:/21198/zz000981zm","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000981zm-1-master.tif","48","","","text","","","","","","page 038","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000981zm"
"Picart (Bernard) Collection","ark:/21198/zz0009820m","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz0009820m-1-master.tif","49","","","text","","","","","","page 039","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009820m"
"Picart (Bernard) Collection","ark:/21198/zz00098214","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz00098214-1-master.tif","50","","","text","","","","","","page 040","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098214"
"Picart (Bernard) Collection","ark:/21198/zz0009822n","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz0009822n-1-master.tif","51","","","text","","","","","","page 041","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009822n"
"Picart (Bernard) Collection","ark:/21198/zz00098235","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz00098235-1-master.tif","52","","","text","","","","","","page 042","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098235"
"Picart (Bernard) Collection","ark:/21198/zz0009868p","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz0009868p-1-master.tif","53","","","text","","","","","","page 043","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009868p"
"Picart (Bernard) Collection","ark:/21198/zz00098696","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz00098696-1-master.tif","54","","","text","","","","","","page 044","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098696"
"Picart (Bernard) Collection","ark:/21198/zz000986bq","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000986bq-1-master.tif","55","","","text","","","","","","page 045","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000986bq"
"Picart (Bernard) Collection","ark:/21198/zz000986c7","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000986c7-1-master.tif","56","","","text","","","","","","page 046","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000986c7"
"Picart (Bernard) Collection","ark:/21198/zz000986dr","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000986dr-1-master.tif","57","","","text","","","","","","page 047","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000986dr"
"Picart (Bernard) Collection","ark:/21198/zz000986f8","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000986f8-1-master.tif","58","","","text","","","","","","page 048","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000986f8"
"Picart (Bernard) Collection","ark:/21198/zz000986gs","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000986gs-1-master.tif","59","","","text","","","","","","page 049","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000986gs"
"Picart (Bernard) Collection","ark:/21198/zz000986h9","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000986h9-1-master.tif","60","","","text","","","","","","page 050","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000986h9"
"Picart (Bernard) Collection","ark:/21198/zz000986jt","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000986jt-1-master.tif","61","","","text","","","","","","page 051","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000986jt"
"Picart (Bernard) Collection","ark:/21198/zz000986kb","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000986kb-1-master.tif","62","","","text","","","","","","page 052","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000986kb"
"Picart (Bernard) Collection","ark:/21198/zz000986mv","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000986mv-1-master.tif","63","","","text","","","","","","page 053","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000986mv"
"Picart (Bernard) Collection","ark:/21198/zz000986nc","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000986nc-1-master.tif","64","","","text","","","","","","page 054","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000986nc"
"Picart (Bernard) Collection","ark:/21198/zz000986pw","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000986pw-1-master.tif","65","","","text","","","","","","page 055","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000986pw"
"Picart (Bernard) Collection","ark:/21198/zz000986qd","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000986qd-1-master.tif","66","","","text","","","","","","page 056","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000986qd"
"Picart (Bernard) Collection","ark:/21198/zz000986rx","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000986rx-1-master.tif","67","","","text","","","","","","page 057","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000986rx"
"Picart (Bernard) Collection","ark:/21198/zz000986sf","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000986sf-1-master.tif","68","","","text","","","","","","page 058","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000986sf"
"Picart (Bernard) Collection","ark:/21198/zz000986tz","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000986tz-1-master.tif","69","","","text","","","","","","page 059","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000986tz"
"Picart (Bernard) Collection","ark:/21198/zz000986vg","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000986vg-1-master.tif","70","","","text","","","","","","page 060","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000986vg"
"Picart (Bernard) Collection","ark:/21198/zz000986w0","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000986w0-1-master.tif","71","","","text","","","","","","page 061","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000986w0"
"Picart (Bernard) Collection","ark:/21198/zz000986xh","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000986xh-1-master.tif","72","","","text","","","","","","page 062","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000986xh"
"Picart (Bernard) Collection","ark:/21198/zz00098832","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz00098832-1-master.tif","73","","","text","","","","","","page 063","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098832"
"Picart (Bernard) Collection","ark:/21198/zz0009884k","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz0009884k-1-master.tif","74","","","text","","","","","","page 064","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009884k"
"Picart (Bernard) Collection","ark:/21198/zz00098853","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz00098853-1-master.tif","75","","","text","","","","","","page 065","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098853"
"Picart (Bernard) Collection","ark:/21198/zz0009886m","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz0009886m-1-master.tif","76","","","text","","","","","","page 066","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009886m"
"Picart (Bernard) Collection","ark:/21198/zz00098874","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz00098874-1-master.tif","77","","","text","","","","","","page 067","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098874"
"Picart (Bernard) Collection","ark:/21198/zz0009888n","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz0009888n-1-master.tif","78","","","text","","","","","","page 068","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009888n"
"Picart (Bernard) Collection","ark:/21198/zz00098895","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz00098895-1-master.tif","79","","","text","","","","","","page 069","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00098895"
"Picart (Bernard) Collection","ark:/21198/zz000988bp","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000988bp-1-master.tif","80","","","text","","","","","","page 070","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000988bp"
"Picart (Bernard) Collection","ark:/21198/zz000988c6","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000988c6-1-master.tif","81","","","text","","","","","","page 071","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000988c6"
"Picart (Bernard) Collection","ark:/21198/zz000988dq","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000988dq-1-master.tif","82","","","text","","","","","","page 072","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000988dq"
"Picart (Bernard) Collection","ark:/21198/zz000988f7","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000988f7-1-master.tif","83","","","text","","","","","","page 073","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000988f7"
"Picart (Bernard) Collection","ark:/21198/zz000988gr","ark:/21198/zz0002hb59","2","Completed","Page","picart/masters/21198-zz000988gr-1-master.tif","84","","","text","","","","","","page 074","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000988gr"
