"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Type.genre","Rights.permission","Name.subject","Name.photographer","Rights.copyrightStatus","Alt ID.local","Relation.isPartOf","Title","Date.creation","Format.dimensions","Format.extent","Bucketeer State","IIIF Access URL"
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxt50","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxt50_2367192_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp009","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of Mexico Ensemble","05/15/2008","3 1/2 x 5 in.","1 photograph : color","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxt50"
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxt6h","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxt6h_2367195_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp010","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of Bali Ensemble","05/17/2008","3 1/2 x 5 in.","1 photograph : color","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxt6h"
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxt71","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxt71_2367186_master.tif","","","","still image","black-and-white photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp007","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of India Ensemble","05/15/2008","4 x 6 in.","1 photograph : b&w","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxt71"
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxt8j","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxt8j_2367201_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp012","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of Mexico Ensemble","05/15/2008","3 1/2 x 5 in.","1 photograph : color","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxt8j"
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxt92","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxt92_2367207_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp014","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of Bali Ensemble","05/17/2008","4 x 6 in.","1 photograph : color","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxt92"
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxtbk","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxtbk_2367198_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp011","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of Korea Ensemble","05/30/2008","4 x 6 in.","1 photograph : color","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxtbk"
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxtc3","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxtc3_2367189_master.tif","","","","still image","black-and-white photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp008","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of India Ensemble","05/15/2008","4 x 6 in.","1 photograph : b&w","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxtc3"
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxtdm","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxtdm_2367468_master.tif","","","","still image","black-and-white photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp024","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of the Balkans Ensemble","05/17/2008","4 x 6 in.","1 photograph : b&w","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxtf4","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxtf4_2367429_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp020","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of the Balkans Ensemble","05/17/2008","4 x 6 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxtgn","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxtgn_2367478_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp025","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","African American Ensemble","05/18/2008","3 1/2 x 5 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxth5","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxth5_2367406_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp019","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","African American Ensemble","05/18/2008","3 1/2 x 5 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxtjp","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxtjp_2367444_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp021","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of the Balkans Ensemble","05/17/2008","4 x 6 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxtk6","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxtk6_2367219_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp018","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of the Balkans Ensemble","05/17/2008","3 1/2 x 5 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxtmq","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxtmq_2367216_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp017","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of Bali Ensemble","05/17/2008","4 x 6 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxtn7","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxtn7_2367447_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp022","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of the Balkans Ensemble","05/17/2008","4 x 6 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxtpr","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxtpr_2367486_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp026","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","African American Ensemble","05/18/2008","3 1/2 x 5 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxtq8","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxtq8_2367462_master.tif","","","","still image","black-and-white photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp023","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of the Balkans Ensemble","05/17/2008","4 x 6 in.","1 photograph : b&w","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxzws","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxzws_2367525_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp030","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of West Africa Ensemble","05/29/2008","4 x 6 in.","1","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxzx9","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxzx9_2368119_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp036","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Afro-Cuban Music Ensemble","05/18/2008","4 x 6 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jxzzt","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jxzzt_2367583_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp034","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of West Africa Ensemble","","4 x 6 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jz008","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jz008_2368116_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp035","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of West Africa Ensemble","05/29/2008","4 x 6 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jz01s","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jz01s_2367495_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp028","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","African American Ensemble","05/18/2008","3 1/2 x 5 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jz029","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jz029_2367531_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp031","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","African American Ensemble","05/18/2008","4 x 6 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jz03t","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jz03t_2367492_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp027","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","African American Ensemble","05/18/2008","3 1/2 x 5 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jz04b","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jz04b_2367576_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp033","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Afro-Cuban Music Ensemble","05/18/2008","4 x 6 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jz05v","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jz05v_2367519_master.tif","","","","still image","black-and-white photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp029","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of West Africa Ensemble","05/29/2008","4 x 6 in.","1 photograph : b&w","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jz06c","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jz06c_2367543_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp032","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Afro-Cuban Music Ensemble","05/18/2008","3 1/2 x 5 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jz7xm","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jz7xm_2368146_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp045","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Blue Grass and Old Time String Band Ensemble","05/29/2008","4 x 6 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jz7z4","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jz7z4_2368128_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp039","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of West Africa Ensemble","05/29/2008","4 x 6 in.","1 photograph : b&w","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jz804","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jz804_2368137_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp042","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Blue Grass and Old Time String Band Ensemble","05/29/2008","4 x 6 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jz81n","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jz81n_2368143_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp044","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Blue Grass and Old Time String Band Ensemble","05/29/2008","4 x 6 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jz825","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jz825_2368158_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp049","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Blue Grass and Old Time String Band Ensemble","05/29/2008","4 x 6 in.","1 photograph : color","failed",
"Ethnomusicology Archive: James Arkatov World Music Photographs","ark:/21198/zz002jz83p","ark:/21198/zz002jnqk5","1","Completed","Work","JamesArkatov/image/21198-zz002jz83p_2368161_master.tif","","","","still image","color photographs","","","Arkatov, James, 1920-","Copyrighted. Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.","cleth_201501_amp050","James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles","Music of Korea Ensemble","05/30/2008","4 x 6 in.","1 photograph : color","failed",
