"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","iiif_access_url","Rights.copyrightStatus","Subject","Name.subject","Rights.countryCreation","Language","Name.repository","Type.typeOfResource","Rights.permission","Name.interviewer","Type.genre","Subject.uniformTitle","Name.sponsor","Name.contributor","Date.creation","Relation.isPartOf","Title","Alt ID.local","Description.fundingNote","Relation.describedIn","Date.normalized","Format.extent","Description.note","Coverage.geographic","Coverage.spatialLatitude","Coverage.spatialLongitude","Relation.relatedTo","Description.abstract","viewingHint","Text direction","Visibility","IIIF Range"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxv7","ark:/21198/zz0015w1xw","2","Completed","Work","","57","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvxv7%2Fnd71sf3q","copyrighted","","Bell, Archie, $d 1944-|~|Drells (Musical group)","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","April 7, 1976","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Archie Bell & the Drells by Ken Jones 1976 April 7","uclapasc_342_058_016_b|~|uclapasc_342_058_016_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1976-04-07","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxwr","ark:/21198/zz0015w1xw","2","Completed","Work","","59","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvxwr%2Fzb90bk5d","copyrighted","","White, Maurice, 1941-","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","October 26, 1977","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Maurice White 1977 October 26","uclapasc_342_058_017_a|~|uclapasc_342_058_017_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1977-10-26","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxx8","ark:/21198/zz0015w1xw","2","Completed","Work","","61","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvxx8%2Fgj64k764","copyrighted","","King, Mabel, $d 1932-1999|~|Russell, Nipsey, $d 1924-2005","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Nipsy Russell/Wiz and Mabel King/Wiz","uclapasc_342_059_001_a|~|uclapasc_342_059_001_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxzs","ark:/21198/zz0015w1xw","2","Completed","Work","","63","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvxzs%2Fb4773m0n","copyrighted","","White, Barry, $d 1944-2003","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Barry White","uclapasc_342_059_002_a|~|uclapasc_342_059_002_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvz0s","ark:/21198/zz0015w1xw","2","Completed","Work","","65","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvz0s%2F18662n5h","copyrighted","","Knight, Gladys, $d 1944-","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","January 1977","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Gladys Knight 1977 January","uclapasc_342_059_003_a|~|uclapasc_342_059_003_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1977-01","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvz19","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_059_004_M_a.wav","67","","","","copyrighted","","King, Mabel, $d 1932-1999","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","July 18, 1978","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Mabel King ""What's Happening"" by Walter Burrell 1978 July 18","uclapasc_342_059_004_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1978-07-18","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvz2t","ark:/21198/zz0015w1xw","2","Completed","Work","","68","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvz2t%2Fcp17cn1m","copyrighted","","Bohannon, Hamilton","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Hamilton Bohannon by Mike Terry","uclapasc_342_059_005_a|~|uclapasc_342_059_005_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvz3b","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_059_006_M_a.wav","70","","","","copyrighted","","Ross, Diana, $d 1944-","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Diana Ross","uclapasc_342_059_006_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvz4v","ark:/21198/zz0015w1xw","2","Completed","Work","","71","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvz4v%2Ft052vs9h","copyrighted","","Wilson, Mary, $d 1944-|~|Ferrer, Pedro Luis","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","December 8, 1977","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Mary Wilson/Pedro Ferrer/Marco Turk (lawyer) by L.P.J. 1977 December 8","uclapasc_342_059_007_b|~|uclapasc_342_059_007_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvz5c","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_059_008_M_a.wav","73","","","","copyrighted","","Smith, Effie","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Effie Smith funeral undated","uclapasc_342_059_008_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvz6w","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_059_009_M_a.wav","74","","","","copyrighted","","Cosby, Bill, 1937-","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Billy Cosby","uclapasc_342_059_009_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvz7d","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_059_010_M_a.wav","75","","","","copyrighted","","Kendricks, Eddie|~|Temptations (Musical group)","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Eddie Kendricks leaving Tempts undated","uclapasc_342_059_010_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","Refers to the Temptations","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvz8x","ark:/21198/zz0015w1xw","2","Completed","Work","","76","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvz8x%2F3g106q14","copyrighted","","Davis, Sammy, 1925-1990","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","June 1970","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Sammy Davis 1970 June","uclapasc_342_059_011_a|~|uclapasc_342_059_011_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1970-06","1 sound cassette","Refers to Sammy Davis, Jr.","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvz9f","ark:/21198/zz0015w1xw","2","Completed","Work","","78","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvz9f%2F5710rd75","copyrighted","","Payne, Scherrie","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Scherrie Payne on South Africa","uclapasc_342_059_012_a|~|uclapasc_342_059_012_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzbz","ark:/21198/zz0015w1xw","2","Completed","Work","","80","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvzbz%2F6f88z72t","copyrighted","","Clinton, George, $d 1940-|~|McDaniels, Gene, $d 1935-2011","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","George Clinton and Gene McDaniels undated","uclapasc_342_059_013_a|~|uclapasc_342_059_013_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzcg","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_059_014_M_a.wav","82","","","","copyrighted","","","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","August 30, 1976","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Chris Beard 1976 August 30","uclapasc_342_059_014_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1976-08-30","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzd0","ark:/21198/zz0015w1xw","2","Completed","Work","","83","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvzd0%2F9j38m995","copyrighted","","Falana, Lola","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Lola Falana by Ken Jones","uclapasc_342_059_015_a|~|uclapasc_342_059_015_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzfh","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_059_016_M_a.wav","85","","","","copyrighted","","Gaye, Marvin|~|Formerly the Harlettes (Musical group)|~|Pitts, Leonard","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Formerly the Harlettes and Marvin Gaye by Leonard Pitts","uclapasc_342_059_016_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzg1","ark:/21198/zz0015w1xw","2","Completed","Work","","86","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvzg1%2Fpx897w8q","copyrighted","","Hayes, Isaac","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Isaac Hayes undated","uclapasc_342_059_017_b|~|uclapasc_342_059_017_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzhj","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_060_001_M_a.wav","88","","","","copyrighted","","Foxx, Redd, $d 1922-1991","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","April 7, 1976","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Redd Foxx 1976 April 7","uclapasc_342_060_001_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1976-04-07","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzj2","ark:/21198/zz0015w1xw","2","Completed","Work","","89","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvzj2%2Fz078km02","copyrighted","","Foxx, Redd, $d 1922-1991|~|Turman, Glynn|~|Franklin, Aretha","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Redd Foxx quits and Aretha Franklin/Glynn Turman","uclapasc_342_060_002_a|~|uclapasc_342_060_002_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzkk","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_060_003_M_a.wav","91","","","","copyrighted","","Scott-Heron, Gil, $d 1949-2011","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Gil Scott Heron","uclapasc_342_060_003_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzm3","ark:/21198/zz0015w1xw","2","Completed","Work","","92","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvzm3%2F8627605k","copyrighted","","Johnson, Beverly|~|Wright, Betty, $d 1953-","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","Pitts, Leonard","","","","","August 1978","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Betty Wright and Beverly Johnson by Leonard Pitts 1978 August","uclapasc_342_060_004_a|~|uclapasc_342_060_004_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1978-08","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvznm","ark:/21198/zz0015w1xw","2","Completed","Work","","94","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvznm%2Fkm71mw63","copyrighted","","L.T.D. (Musical group)","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","Pitts, Leonard","","","","","August 1978","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","L.T.D. by Leonard Pitts 1978 August","uclapasc_342_060_005_a|~|uclapasc_342_060_005_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1978-08","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzp4","ark:/21198/zz0015w1xw","2","Completed","Work","","96","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvzp4%2Fxt710n37","copyrighted","","Jones, James Earl","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","James Earl Jones","uclapasc_342_060_006_a|~|uclapasc_342_060_006_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzqn","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_060_007_M_a.wav","98","","","","copyrighted","","","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Right on Time, R. Jones/S. Mills","uclapasc_342_060_007_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","Refers to Regina Jones","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzr5","ark:/21198/zz0015w1xw","2","Completed","Work","","99","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvzr5%2Fzn07rf0h","copyrighted","","Tyson, Cicely","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","March 3, 1976","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Cicely Tyson 1976 March 3","uclapasc_342_060_008_a|~|uclapasc_342_060_008_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1976-03-03","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzsp","ark:/21198/zz0015w1xw","2","Completed","Work","","102","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvzsp%2Fgj697n5z","copyrighted","","Laws, Ronnie|~|Stargard (Musical group)","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Ronnie Laws and Stargard by Mike Terry","uclapasc_342_060_009_a|~|uclapasc_342_060_009_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","Stargard is on side 1; Ronnie Laws is on side 2","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzt6","ark:/21198/zz0015w1xw","2","Completed","Work","","101","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvzt6%2F8m048p0f","copyrighted","","Franklin, Aretha","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","February 5, 1977","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Aretha Franklin 1977 February 5","uclapasc_342_060_010_a|~|uclapasc_342_060_010_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1977-02-05","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzvq","ark:/21198/zz0015w1xw","2","Completed","Work","","105","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvzvq%2Fvx118h6t","copyrighted","","McCoo, Marilyn|~|Davis, Billy, $c Jr.","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","November 1978","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Marilyn McCoo and Billy Davis, Jr. by Mike Terry 1978 November","uclapasc_342_060_011_a|~|uclapasc_342_060_011_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1978-11","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzw7","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_060_012_M_a.wav","107","","","","copyrighted","","Ohio Players (Musical group)","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","November 21, 1978","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Ohio Players by Marc Shapiro 1978 November 21","uclapasc_342_060_012_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1978-11-21","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzxr","ark:/21198/zz0015w1xw","2","Completed","Work","","108","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvzxr%2Fzx02sd6d","copyrighted","","","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Tom Nemly on Black films","uclapasc_342_060_013_a|~|uclapasc_342_060_013_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzz8","ark:/21198/zz0015w1xw","2","Completed","Work","","110","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dvzz8%2F7c54gx1d","copyrighted","","Mandré","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","Circa 1977","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Mandre interview and Christmas celebrity survey ca. 1977","uclapasc_342_060_014_a|~|uclapasc_342_060_014_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1972/1982","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dw00q","ark:/21198/zz0015w1xw","2","Completed","Work","","112","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw00q%2Fbr18gh2p","copyrighted","","Spencer, Danielle, 1965-|~|Pryor, Richard","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Richard Pryor press conference and Danielle Spencer undated","uclapasc_342_060_015_a|~|uclapasc_342_060_015_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dw017","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_060_016_M_a.wav","114","","","","copyrighted","","McGuire, Deborah","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","Jones, Regina","compact cassette","","","","1977","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Debbie Pryor by Regina Jones, 1977","uclapasc_342_060_016_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1977","1 audiocassette (00:03:05)","Side B is blank.|~|Subject tentatively identified as Deborah (or Debora) McGuire, wife of Richard Pryor from 1977-1978.","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dw02r","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_060_017_M_a.wav","115","","","","copyrighted","","Rolle, Esther","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","Terry, Mike","compact cassette","","","","August, 1978","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Esther Rolle by Mike Terry, August 1979; unidentified man on David Bowie and James Brown, undated; unidentified celebrities on their most memorable Christmas, undated","uclapasc_342_060_017_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1978-08","1 audiocassette (00:31:03)","Side B is blank.","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dw038","ark:/21198/zz0015w1xw","2","Completed","Work","","116","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw038%2F4j332w12","copyrighted","","Tyrrell, Jim","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","Jones, Regina","compact cassette","","","","April 1977","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Jim Tyrrell by Regina Jones, April 1977","uclapasc_342_061_001_a|~|uclapasc_342_061_001_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1977-04","1 audiocassette (00:37:42)","","","","","","","","","",""
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dw04s","ark:/21198/zz0015w1xw","2","Completed","Work","","118","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw04s%2Fzz40vn47","copyrighted","","Ross, Diana, $d 1944-","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","Pitts, Leonard","compact cassette","","","","1977","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Diana Ross by Leonard Pitts, Los Angeles, ca. 1977","uclapasc_342_061_002_b|~|uclapasc_342_061_002_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1977","1 audiocassette (02:01:03)","","Los Angeles (Calif.)","","","","","","","",""
