Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Title,Description.note,Format.dimensions,Format.medium,Alt ID.local,AltTitle.uniform,Place of origin,Bucketeer State,IIIF Access URL
Palmer Family Papers. Collection 515,ark:/21198/zz000sk5b2,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz000sk5b2-1-master.tif,76,,,still image,706,irrigation works; men on horseback in water-filled ditch,4 in x 5 in,glass plate,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sk5b2
Palmer Family Papers. Collection 515,ark:/21198/zz002kh2vr,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh2vr_2407990_master.tif,1,,,still image,51,Mass sailing ships,4 in. x 5 in.,glass negative,Palmer Family Papers,Collection 515 box 52 negative 51,"Callao, Peru",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh2vr
Palmer Family Papers. Collection 515,ark:/21198/zz002kh2w8,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh2w8_2407993_master.tif,2,,,still image,70,mountain hillside view,4 in. x 5in.,glass negative,Palmer Family Papers,Collection 515 box 52 negative 70,"Lima, Peru",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh2w8
Palmer Family Papers. Collection 515,ark:/21198/zz002kh2xs,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh2xs_2407996_master.tif,3,,,still image,73,Ships sailing in a bay.,4in. x 5in.,glass negative,Palmer Family Papers,Collection 51 box 52 negative 51,"Arica/ Iquique, Chile",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh2xs
Palmer Family Papers. Collection 515,ark:/21198/zz002kh2z9,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh2z9_2407999_master.tif,4,,,still image,76,Mass sailing ships,4in. x 5in.,glass negative,Palmer Family Papers,Collection 515 box 52 negative 76,"Arica/Iquique, Chile",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh2z9
Palmer Family Papers. Collection 515,ark:/21198/zz002kh309,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh309_2408002_master.tif,5,,,still image,79,Men on a shipping dock.,4in. x 5in.,glass negative,Palmer Family Paper,Collection 515 box 52 negative 79,"Arica/Iquique, Chile",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh309
Palmer Family Papers. Collection 515,ark:/21198/zz002kh31t,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh31t_2408005_master.tif,6,,,still image,82,Rocky beach with view of a ship in the distance.,4 in x 5 in,glass negative,Palmer Family Papers,Collection 515 box 52 negative 82,"Arica/Iquique, chile",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh31t
Palmer Family Papers. Collection 515,ark:/21198/zz002kh32b,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh32b_2408008_master.tif,7,,,still image,83,"Quiet, pebbled stone street with trees and a couple passerby.",4in. x 5in.,glass negative,Palmer Family Papers,Collection 151 box 52 negative 83,"Arica.Iquique, Chile",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh32b
Palmer Family Papers. Collection 515,ark:/21198/zz002kh33v,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh33v_2408011_master.tif,8,,,still image,84,Family portrait in a stable.,4 in x 5 in,glass negative.,Palmer Family Papers,Collection 515 box 52 negative 84,"Arica/Iquique, Chile",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh33v
Palmer Family Papers. Collection 515,ark:/21198/zz002kh34c,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh34c_2408014_master.tif,9,,,still image,85,Crowded street flooded with water.,4in. x 5in.,glass negative,Palmer Family Papers,Collection 515 box 52 negative 85,"Valparaiso, Chile",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh34c
Palmer Family Papers. Collection 515,ark:/21198/zz002kh35w,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh35w_2408017_master.tif,10,,,still image,86,Rainy city square with a newpaper boy in the foreground.,4 in x 5 in,glass negative,Palmer Family Papers,Collection 515 box 52 negative 86,"Valparaiso, Chile",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh35w
Palmer Family Papers. Collection 515,ark:/21198/zz002kh36d,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh36d_2408020_master.tif,11,,,,87,Young children stand in a neighborhood street under construction.,4 in x 5 in,glass negative,Palmer Family Papers,Collection 515 box 52 negative 87,"Valparaiso, Chile",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh36d
Palmer Family Papers. Collection 515,ark:/21198/zz002kh37x,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh37x_2408023_master.tif,12,,,still image,88,Rocky barricade on a city shoreline.,4 in x 5in,glass negative,Palmer Family Papers,Collection 515 box 52 negative 88,"Valparaiso, Chile",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh37x
Palmer Family Papers. Collection 515,ark:/21198/zz002kh38f,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh38f_2408026_master.tif,13,,,still image,89,A crowded city street under construction.,4in. x 5in.,glass negative,Palmer Family Papers,Collection 515 box 52 negative 89,"Valparaiso, Chile",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh38f
Palmer Family Papers. Collection 515,ark:/21198/zz002kh39z,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh39z_2408029_master.tif,14,,,still image,90,Busy cobbled stone street in midday.,4in. x 5in.,glass negative,Palmer Family Papers,Collection 515 box 52 negative 90,"Valparaiso, Chile.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh39z
Palmer Family Papers. Collection 515,ark:/21198/zz002kh3bg,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh3bg_2408032_master.tif,15,,,still image,91,Overhead view of a foggy shipping yard and adjacent docks.,4in. x 5in.,glass negative,Palmer Family Papers,Collection 515 box 52 negative 91,"Valparaiso, Chile.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3bg
Palmer Family Papers. Collection 515,ark:/21198/zz002kh3c0,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh3c0_2408035_master.tif,17,,,still image,92,A shipyard that has fallen into disrepair.,4in. x 5in.,glass negative,Palmer Family Papers,Collection 515 box 92 negative,"Valparaiso, Chile. Negative no. 92",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3c0
Palmer Family Papers. Collection 515,ark:/21198/zz002kh3dh,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh3dh_2408038_master.tif,18,,,still image,93,A cobblestone city side street with a couple passerby.,4in. x 5in.,glass negative,Palmer Family Papers,Collection 515 box 52 negative 93,"Valparaiso, Chile. Negative no. 93",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3dh
Palmer Family Papers. Collection 515,ark:/21198/zz002kh3f1,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh3f1_2408042_master.tif,19,,,still image,102,Country stream with trees and shrubbery on either side connected by a bridge.,4in. x 5in.,glass negative,Palmer Family Papers,Collection 515 box 52 negative 102,Santiago area,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3f1
Palmer Family Papers. Collection 515,ark:/21198/zz002kh3gj,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh3gj_2408049_master.tif,21,,,still image,103,"On unpaved street lined with small buildings, a horse and carriage approaches.",4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 52 negative 103,Santiago Area.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3gj
Palmer Family Papers. Collection 515,ark:/21198/zz002kh3h2,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh3h2_2408052_master.tif,22,,,still image,104,Trees and resting families surround the outside of an apartment building.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 52 negative 104,Santiago area.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3h2
Palmer Family Papers. Collection 515,ark:/21198/zz002kh3jk,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh3jk_2408055_master.tif,23,,,still image,107,A river runs through a valley between mountain hillsides.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 52 negative 107,Santiago Area.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3jk
Palmer Family Papers. Collection 515,ark:/21198/zz002kh3k3,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh3k3_2408058_master.tif,24,,,still image,110,A winding river and bridge are surrounded by trees and shrubs in the countryside.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 110,Santiago Area.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3k3
Palmer Family Papers. Collection 515,ark:/21198/zz002kh3mm,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh3mm_2408061_master.tif,25,,,still image,114,Scenic view from a mountain hillside overlooking farmland.,4in. x 5in.,glass negative.|~|glass negative.,Palmer Family Papers,Collection 515 box 53 negative 114,Santiago Area.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3mm
Palmer Family Papers. Collection 515,ark:/21198/zz002kh3n4,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh3n4_2408064_master.tif,26,,,still image,115,Tree lined pathway stretching into the distance.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 115,Santaigo Area,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3n4
Palmer Family Papers. Collection 515,ark:/21198/zz002kh3pn,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh3pn_2408067_master.tif,27,,,still image,123,Two ships float nearby the shore.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 123,Constitution Bay and beach,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3pn
Palmer Family Papers. Collection 515,ark:/21198/zz002kh3q5,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh3q5_2408070_master.tif,28,,,still image,125,Single boat at sea.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 125,Constitution Bay and beach.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3q5
Palmer Family Papers. Collection 515,ark:/21198/zz002kh3rp,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh3rp_2408073_master.tif,29,,,still image,126,"Crack across image of three ships sailing, one large and two rowboats.",4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 126,Constitution Bay and beach.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3rp
Palmer Family Papers. Collection 515,ark:/21198/zz002kh3s6,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh3s6_2408076_master.tif,30,,,still image,127,Men load rowboats on the beach.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 127,Constiution Bay and beach.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3s6
Palmer Family Papers. Collection 515,ark:/21198/zz002kh3tq,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh3tq_2408079_master.tif,31,,,still image,130,Men relax and sell drinks on a city sidewalk.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 130,Chile: Characteristic scenes 1.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3tq
Palmer Family Papers. Collection 515,ark:/21198/zz002kh3v7,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh3v7_2408082_master.tif,32,,,still image,135,City goers relax in a shaded area of a cobbled stone street.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 135,Chile: Characteristic scenes 1.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3v7
Palmer Family Papers. Collection 515,ark:/21198/zz002kh3wr,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh3wr_2408085_master.tif,33,,,still image,136,Residents ride a trolley through a city street.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 136,Chile: Characteristic scenes 1.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3wr
Palmer Family Papers. Collection 515,ark:/21198/zz002kh3x8,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh3x8_2408088_master.tif,34,,,still image,137,Bulls attached to a small cart stand and while another pair roam around the dirt.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 137,Chile: Characteristic scenes 1.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3x8
Palmer Family Papers. Collection 515,ark:/21198/zz002kh3zs,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh3zs_2408091_master.tif,35,,,still image,138,A horse rider waits patiently and carries a large woven basket behind him.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 138,Chile: Characterisitc scenes 1.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3zs
Palmer Family Papers. Collection 515,ark:/21198/zz002kh40s,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh40s_2408094_master.tif,36,,,still image,139,People mill around the outside of a train.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 139,Chile: Characteristic scenes 1.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh40s
Palmer Family Papers. Collection 515,ark:/21198/zz002kh419,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh419_2408097_master.tif,37,,,still image,140,A street vendor and city residents go about their day.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 140,Chile: Characteristic scenes 1.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh419
Palmer Family Papers. Collection 515,ark:/21198/zz002kh42t,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh42t_2408100_master.tif,38,,,still image,147,Men and women look directly into the camera during ship construction on a beach.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 147,Constitucion.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh42t
Palmer Family Papers. Collection 515,ark:/21198/zz002kh43b,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh43b_2408103_master.tif,39,,,still image,148,Bystanding men watch two oxen strain to pull a cart across a dirt field.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 148,Constitucion.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh43b
Palmer Family Papers. Collection 515,ark:/21198/zz002kh44v,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh44v_2408106_master.tif,40,,,still image,149,Three children watch a man load a large barrel into cart.,4in. x 5in.,,Palmer Family Papers,Collection 515 box 53 negative 149,Constitution.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh44v
Palmer Family Papers. Collection 515,ark:/21198/zz002kh45c,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh45c_2408109_master.tif,41,,,still image,153,Woman and children go about their day around small buildings in a neighborhood.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 153,"Concepcion, Talcahuano, Lota.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh45c
Palmer Family Papers. Collection 515,ark:/21198/zz002kh46w,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh46w_2408112_master.tif,42,,,still image,156,A large steam ship is docked in a harbor.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 156,"Concepcion, Talcahuano, Lota.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh46w
Palmer Family Papers. Collection 515,ark:/21198/zz002kh48x,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh48x_2408115_master.tif,44,,,still image,157,Numerous small boats sail around a harbor.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 157,"Concepcion, Talcahuano, Lota.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh48x
Palmer Family Papers. Collection 515,ark:/21198/zz002kh49f,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh49f_2408118_master.tif,45,,,still image,160,"Two men stand in front of a large, city building.",4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 160,Santiago.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh49f
Palmer Family Papers. Collection 515,ark:/21198/zz002kh4bz,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh4bz_2408121_master.tif,46,,,still image,161,"An overhead view of Santiago shows ornate gardens, uniform streets, and Spanish style buildings.",4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 161,Santiago.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh4bz
Palmer Family Papers. Collection 515,ark:/21198/zz002kh4cg,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh4cg_2408124_master.tif,47,,,still image,162,Five towers peer behind trees overlooking a cobblestone street with light traffic.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 162,Santiago.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh4cg
Palmer Family Papers. Collection 515,ark:/21198/zz002kh4d0,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh4d0_2408127_master.tif,48,,,still image,164,A mountain hillside overlooks the city below.,4in. x 5in.|~|glass negative,,Palmer Family Papers,Collection 515 box 53 negative 164,Santiago.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh4d0
Palmer Family Papers. Collection 515,ark:/21198/zz002kh4fh,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh4fh_2408130_master.tif,49,,,still image,165,Trees frame an ornate building.,4in. x 5in.|~|glass negative.,,Palmer Family Papers,Collection 515 box 53 negative 165,Santiago.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh4fh
Palmer Family Papers. Collection 515,ark:/21198/zz002kh4g1,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh4g1_2408133_master.tif,50,,,still image,166,A cobblestone city street is lightly crowded with people and a horse and carriage.,glass negative.|~|4in. x 5in.,,Palmer Family Papers,Collection 515 box 53 negative 166,Santiago.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh4g1
Palmer Family Papers. Collection 515,ark:/21198/zz002kh4hj,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh4hj_2408136_master.tif,51,,,still image,189,A busy city square is bustling with people.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 189,Chilean.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh4hj
Palmer Family Papers. Collection 515,ark:/21198/zz002kh4j2,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh4j2_2408139_master.tif,52,,,still image,193,A small path leading to water is ledged along a hillside.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 193,"Valdia, Corral, Osorno.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh4j2
Palmer Family Papers. Collection 515,ark:/21198/zz002kh4kk,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh4kk_2408142_master.tif,53,,,still image,195,A pipe bends across a body of water.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 195,Chilean.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh4kk
Palmer Family Papers. Collection 515,ark:/21198/zz002kh4m3,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh4m3_2408145_master.tif,54,,,still image,199,Small bocks are docked against a city canal.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 199,"Valdia, Corral, Osorno.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh4m3
Palmer Family Papers. Collection 515,ark:/21198/zz002kh4nm,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh4nm_2408148_master.tif,55,,,,200,Horses and their riders are loaded onto a small boat pushing off from the shore.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 200,"Valdia, Corral, Osorno.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh4nm
Palmer Family Papers. Collection 515,ark:/21198/zz002kh4qn,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh4qn_2408151_master.tif,56,,,still image,202,A ship is docked at bay.,4in. x 5in.,glass plate.,Palmer Family Papers,Collection 515 box 53 negative 202,"Valdia, Corral, Osorno.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh4qn
Palmer Family Papers. Collection 515,ark:/21198/zz002kh4r5,ark:/21198/zz000sbx4f,2,Completed,Work,palmer/masters/21198-zz002kh4r5_2408154_master.tif,57,,,still image,211,A small beach with a few trees overlooks the water ad mountains.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 53 negative 211,"Temuco, Villarica.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh4r5
Palmer Family Papers. Collection 515,ark:/21198/zz002kh4sp,ark:/21198/zz000sbx4f,1,In progress,Work,palmer/masters/21198-zz002kh4sp_2408157_master.tif,58,,,still image,230,Two men sit on rocks between trees in a canyon.,4in. x 5in.,glass negative.,Palmer Family Papers,Collection 515 box 54 negative 230,Chile: Mountains.,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh4sp
