Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.genre,Type.typeOfResource,Subject,Rights.permission,Rights.copyrightStatus,Name.repository,Name.subject,Name.donor,Name.artist,Name.designer,Name.photographer,Rights.rightsHolderContact,Format.medium,Description.note,Format.extent,Alt ID.collection,Date.creation,Alt ID.local,Date.normalized,Title,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Valdez (Patssi) Digital Image Collection ,ark:/21198/zz0017r691,ark:/21198/zz0017r42z,1,In progress,Work,valdez/masters/21198-zz0017r691_722799_master.tif,,,,,private,slides (photographs),still image,"Chicano Movement|~|Art and society--California--Los Angeles|~|Chicano artists--California--Los Angeles County|~|Chicano archives|~|Chicano movement -- California|~|Chicano movement -- California -- Los Angeles|~|Performance art|~|Artists $z California $z Los Angeles|~|Mexican American women artists|~|Chicanas|~|ASCO (American art collective, active 1971-1987)|~|documentary photography|~|Chicana artists","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valdez, Patssi","Valdez, Patssi",,"Gamboa, Harry, Jr. (American muralist, born 1951)","Gamboa, Harry, Jr. (American muralist, born 1951)",Color Photograph,"Photograph taken in East Los Angeles, CA",1 slide,The Patssi Valdez Digital Image Collection,1970/1979,CSRC_PATSSIVALDEZ_ASCO_img032.tif,1970/1979,"Still from ASCO Film (Gronk, Patssi)",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017r691,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017r691/manifest
Valdez (Patssi) Digital Image Collection ,ark:/21198/zz0017r6bj,ark:/21198/zz0017r42z,1,In progress,Work,valdez/masters/21198-zz0017r6bj_722808_master.tif,,,,,private,slides (photographs),still image,"Chicano Movement|~|Art and society--California--Los Angeles|~|Chicano movement -- California|~|chicano archives|~|Chicano movement -- California -- Los Angeles|~|Performance art|~|Photography $z California $z Los Angeles|~|Artists $z California $z Los Angeles|~|Mexican American women artists|~|Chicanas|~|ASCO (American art collective, active 1971-1987)|~|documentary photography|~|Chicana artists","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valdez, Patssi","Valdez, Patssi",,"Gamboa, Harry, Jr. (American muralist, born 1951)","Gamboa, Harry, Jr. (American muralist, born 1951)",Color Photograph,,1 slide,The Patssi Valdez Digital Image Collection,,CSRC_PATSSIVALDEZ_ASCO_img034.tif,1970/1979,CSRC_PATSSIVALDEZ_ASCO_img034.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017r6bj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017r6bj/manifest
Valdez (Patssi) Digital Image Collection ,ark:/21198/zz0017r6c2,ark:/21198/zz0017r42z,1,In progress,Work,valdez/masters/21198-zz0017r6c2_722772_master.tif,,,,,private,slides (photographs),still image,"Chicano Movement|~|Art and society--California--Los Angeles|~|Chicano archives|~|Chicano movement -- California|~|Chicano movement -- California -- Los Angeles|~|Performance art|~|Photography $z California $z Los Angeles|~|Artists $z California $z Los Angeles|~|Mexican American women artists|~|Chicanas|~|ASCO (American art collective, active 1971-1987)|~|documentary photography|~|Chicana artists","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valdez, Patssi","Valdez, Patssi",,"Gamboa, Harry, Jr. (American muralist, born 1951)","Gamboa, Harry, Jr. (American muralist, born 1951)",Color Photograph,"Photograph taken in Whitter, CA",1 slide,The Patssi Valdez Digital Image Collection,1974,CSRC_PATSSIVALDEZ_ASCO_img026.tif,1970/1979,"(new)ASCO, First Supper (After a Major Riot)",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017r6c2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017r6c2/manifest
Valdez (Patssi) Digital Image Collection ,ark:/21198/zz0017r6dk,ark:/21198/zz0017r42z,1,In progress,Work,valdez/masters/21198-zz0017r6dk_722736_master.tif,,,,,private,slides (photographs),still image,"Chicano Movement|~|Art and society--California--Los Angeles|~|Chicano archives|~|Chicano movement -- California|~|Chicano movement -- California -- Los Angeles|~|Performance art|~|Photography $z California $z Los Angeles|~|Artists $z California $z Los Angeles|~|Mexican American women artists|~|Chicanas|~|ASCO (American art collective, active 1971-1987)|~|documentary photography|~|Chicana artists","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valdez, Patssi","Valdez, Patssi",,"Gamboa, Harry, Jr. (American muralist, born 1951)","Gamboa, Harry, Jr. (American muralist, born 1951)",Color Photograph,"Photograph taken in East Los Angeles, CA",1 slide,The Patssi Valdez Digital Image Collection,1972,CSRC_PATSSIVALDEZ_ASCO_img019.tif,1970/1979,"(new)ASCO, Walking Mural",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017r6dk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017r6dk/manifest
Valdez (Patssi) Digital Image Collection ,ark:/21198/zz0017r6f3,ark:/21198/zz0017r42z,1,In progress,Work,valdez/masters/21198-zz0017r6f3_722877_master.tif,,,,,private,slides (photographs),still image,"Chicano Movement|~|Art and society--California--Los Angeles|~|Chicano movement -- California|~|chicano archives|~|Chicano movement -- California -- Los Angeles|~|Performance art|~|Photography $z California $z Los Angeles|~|Artists $z California $z Los Angeles|~|Mexican American women artists|~|Chicanas|~|ASCO (American art collective, active 1971-1987)|~|documentary photography|~|Chicana artists","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,UCLA Chicano Studies Research Center Library & Archive,,"Valdez, Patssi","Valdez, Patssi",,,,,,1 slide,The Patssi Valdez Digital Image Collection,,CSRC_PATSSIVALDEZ_ASCO_img049.tif,,"(new)Harry Gamboa, Jr.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017r6f3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017r6f3/manifest
Valdez (Patssi) Digital Image Collection ,ark:/21198/zz0017r6gm,ark:/21198/zz0017r42z,1,In progress,Work,valdez/masters/21198-zz0017r6gm_722796_master.tif,,,,,private,slides (photographs),still image,"Chicano Movement|~|Art and society--California--Los Angeles|~|Chicano archives|~|Chicano movement -- California|~|Chicano movement -- California -- Los Angeles|~|Performance art|~|Photography $z California $z Los Angeles|~|Artists $z California $z Los Angeles|~|Mexican American women artists|~|Chicanas|~|ASCO (American art collective, active 1971-1987)|~|documentary photography|~|Chicana artists","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valdez, Patssi","Valdez, Patssi",,"Gamboa, Harry, Jr. (American muralist, born 1951)","Gamboa, Harry, Jr. (American muralist, born 1951)",Color Photograph,"Photograph taken in East Los Angeles, CA",1 slide,The Patssi Valdez Digital Image Collection,,CSRC_PATSSIVALDEZ_ASCO_img031.tif,1970/1979,"Herron, Gronk, Patssi, Gamboa",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017r6gm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017r6gm/manifest
Valdez (Patssi) Digital Image Collection ,ark:/21198/zz0017r6h4,ark:/21198/zz0017r42z,1,In progress,Work,valdez/masters/21198-zz0017r6h4_722757_master.tif,,,,,private,slides (photographs),still image,"Chicano Movement|~|Art and society--California--Los Angeles|~|Chicano archives|~|Chicano movement -- California|~|Chicano movement -- California -- Los Angeles|~|Performance art|~|Photography $z California $z Los Angeles|~|Artists $z California $z Los Angeles|~|Mexican American women artists|~|Chicanas|~|ASCO (American art collective, active 1971-1987)|~|documentary photography|~|Chicana artists","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valdez, Patssi","Valdez, Patssi",,"Gamboa, Harry, Jr. (American muralist, born 1951)","Gamboa, Harry, Jr. (American muralist, born 1951)",Color Photograph,"Photograph taken in East Los Angeles, CA",1 slide,The Patssi Valdez Digital Image Collection,,CSRC_PATSSIVALDEZ_ASCO_img022.tif,1970/1979,"Gronk, Patssi, Herron, Gamboa",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017r6h4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017r6h4/manifest
Valdez (Patssi) Digital Image Collection ,ark:/21198/zz0017r6jn,ark:/21198/zz0017r42z,1,In progress,Work,,,,,,private,photographs|~|slides (photographs),still image,"Chicano Movement|~|Art and society--California--Los Angeles|~|Chicano archives|~|Chicano movement -- California|~|Chicano movement -- California -- Los Angeles|~|Performance art|~|Photography $z California $z Los Angeles|~|Artists $z California $z Los Angeles|~|Mexican American women artists|~|Chicanas|~|ASCO (American art collective, active 1971-1987)|~|documentary photography|~|Chicana artists","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,UCLA Chicano Studies Research Center Library & Archive,,"Valdez, Patssi","Valdez, Patssi",,,,Chromogentic Photograph,,1 slide,,,CSRC_PATSSIVALDEZ_ASCO_img029.tif,,(metadata) CSRC_PATSSIVALDEZ_ASCO_img029.tif,missing,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017r6jn/manifest
Valdez (Patssi) Digital Image Collection ,ark:/21198/zz0017r6k5,ark:/21198/zz0017r42z,1,In progress,Work,valdez/masters/21198-zz0017r6k5_722739_master.tif,,,,,private,slides (photographs),still image,"Chicano Movement|~|Art and society--California--Los Angeles|~|Chicano archives|~|Chicano movement -- California|~|Chicano movement -- California -- Los Angeles|~|Performance art|~|Photography $z California $z Los Angeles|~|Artists $z California $z Los Angeles|~|Mexican American women artists|~|Chicanas|~|ASCO (American art collective, active 1971-1987)|~|documentary photography|~|Chicana artists","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valdez, Patssi","Valdez, Patssi",,"Gamboa, Harry, Jr. (American muralist, born 1951)","Gamboa, Harry, Jr. (American muralist, born 1951)",Color Photograph,"Photograph taken in East Los Angeles, CA",1 slide,The Patssi Valdez Digital Image Collection,1980,CSRC_PATSSIVALDEZ_ASCO_img017.tif,1980,Walking Mural (Patssi),succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017r6k5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017r6k5/manifest
Valdez (Patssi) Digital Image Collection ,ark:/21198/zz0017r6mp,ark:/21198/zz0017r42z,1,In progress,Work,valdez/masters/21198-zz0017r6mp_722783_master.tif,,,,,private,slides (photographs),still image,"Chicano Movement|~|Art and society--California--Los Angeles|~|Chicano archives|~|Chicano movement -- California|~|Chicano movement -- California -- Los Angeles|~|Performance art|~|Photography $z California $z Los Angeles|~|Artists $z California $z Los Angeles|~|Mexican American women artists|~|Chicanas|~|ASCO (American art collective, active 1971-1987)|~|documentary photography|~|Chicana artists","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valdez, Patssi","Valdez, Patssi",,"Gamboa, Harry, Jr. (American muralist, born 1951)","Gamboa, Harry, Jr. (American muralist, born 1951)",Color Photograph,"Photograph taken in East Los Angeles, CA",1 slide,The Patssi Valdez Digital Image Collection,early 1970's,CSRC_PATSSIVALDEZ_ASCO_img028.tif,1970/1979,(New) ASCO,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017r6mp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017r6mp/manifest
