Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.servicesContact,Name.repository,Name.author,Name.printer,Subject,Name.editor,Title,AltIdentifier.local,Relation.rectoVerso,Description.note,Date.publication,Publisher.publisherName,Date.normalized,Publisher.placeOfOrigin
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028shvw,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0023.tif,23,,,,,,,text,pd,,,,,,,Page 16,pasc_antiphonarium_1685_0023,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028shwd,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0024.tif,24,,,,,,,text,pd,,,,,,,Page 17,pasc_antiphonarium_1685_0024,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028shxx,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0025.tif,25,,,,,,,text,pd,,,,,,,Page 18,pasc_antiphonarium_1685_0025,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028shzf,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0026.tif,26,,,,,,,text,pd,,,,,,,Page 19,pasc_antiphonarium_1685_0026,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sj0f,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0027.tif,27,,,,,,,text,pd,,,,,,,Page 20,pasc_antiphonarium_1685_0027,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sj1z,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0028.tif,28,,,,,,,text,pd,,,,,,,Page 21,pasc_antiphonarium_1685_0028,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sj2g,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0029.tif,29,,,,,,,text,pd,,,,,,,Page 22,pasc_antiphonarium_1685_0029,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sj30,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0030.tif,30,,,,,,,text,pd,,,,,,,Page 23,pasc_antiphonarium_1685_0030,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sj4h,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0031.tif,31,,,,,,,text,pd,,,,,,,Page 24,pasc_antiphonarium_1685_0031,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sj51,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0032.tif,32,,,,,,,text,pd,,,,,,,Page 25,pasc_antiphonarium_1685_0032,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sj6j,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0033.tif,33,,,,,,,text,pd,,,,,,,Page 26,pasc_antiphonarium_1685_0033,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sj72,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0034.tif,34,,,,,,,text,pd,,,,,,,Page 27,pasc_antiphonarium_1685_0034,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sj8k,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0035.tif,35,,,,,,,text,pd,,,,,,,Page 28,pasc_antiphonarium_1685_0035,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sj93,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0036.tif,36,,,,,,,text,pd,,,,,,,Page 29,pasc_antiphonarium_1685_0036,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sjbm,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0037.tif,37,,,,,,,text,pd,,,,,,,Page 30,pasc_antiphonarium_1685_0037,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sjc4,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0038.tif,38,,,,,,,text,pd,,,,,,,Page 31,pasc_antiphonarium_1685_0038,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sjdn,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0039.tif,39,,,,,,,text,pd,,,,,,,Page 32,pasc_antiphonarium_1685_0039,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sjf5,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0040.tif,40,,,,,,,text,pd,,,,,,,Page 33,pasc_antiphonarium_1685_0040,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sjgp,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0041.tif,41,,,,,,,text,pd,,,,,,,Page 34,pasc_antiphonarium_1685_0041,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sjh6,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0042.tif,42,,,,,,,text,pd,,,,,,,Page 35,pasc_antiphonarium_1685_0042,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sjjq,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0043.tif,43,,,,,,,text,pd,,,,,,,Page 36,pasc_antiphonarium_1685_0043,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sjk7,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0044.tif,44,,,,,,,text,pd,,,,,,,Page 37,pasc_antiphonarium_1685_0044,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sjmr,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0045.tif,45,,,,,,,text,pd,,,,,,,Page 38,pasc_antiphonarium_1685_0045,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sjn8,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0046.tif,46,,,,,,,text,pd,,,,,,,Page 39,pasc_antiphonarium_1685_0046,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sjps,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0047.tif,47,,,,,,,text,pd,,,,,,,Page 40,pasc_antiphonarium_1685_0047,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sjq9,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0048.tif,48,,,,,,,text,pd,,,,,,,Page 41,pasc_antiphonarium_1685_0048,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sjrt,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0049.tif,49,,,,,,,text,pd,,,,,,,Page 42,pasc_antiphonarium_1685_0049,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sjsb,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0050.tif,50,,,,,,,text,pd,,,,,,,Page 43,pasc_antiphonarium_1685_0050,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sjtv,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0051.tif,51,,,,,,,text,pd,,,,,,,Page 44,pasc_antiphonarium_1685_0051,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sjvc,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0052.tif,52,,,,,,,text,pd,,,,,,,Page 45,pasc_antiphonarium_1685_0052,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sjww,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0053.tif,53,,,,,,,text,pd,,,,,,,Page 46,pasc_antiphonarium_1685_0053,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sjxd,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0054.tif,54,,,,,,,text,pd,,,,,,,Page 47,pasc_antiphonarium_1685_0054,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sjzx,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0055.tif,55,,,,,,,text,pd,,,,,,,Page 48,pasc_antiphonarium_1685_0055,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sk0x,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0056.tif,56,,,,,,,text,pd,,,,,,,Page 49,pasc_antiphonarium_1685_0056,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sk1f,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0057.tif,57,,,,,,,text,pd,,,,,,,Page 50,pasc_antiphonarium_1685_0057,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sk2z,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0058.tif,58,,,,,,,text,pd,,,,,,,Page 51,pasc_antiphonarium_1685_0058,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sk3g,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0059.tif,59,,,,,,,text,pd,,,,,,,Page 52,pasc_antiphonarium_1685_0059,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sk40,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0060.tif,60,,,,,,,text,pd,,,,,,,Page 53,pasc_antiphonarium_1685_0060,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sk5h,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0061.tif,61,,,,,,,text,pd,,,,,,,Page 54,pasc_antiphonarium_1685_0061,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sk61,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0062.tif,62,,,,,,,text,pd,,,,,,,Page 55,pasc_antiphonarium_1685_0062,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sk7j,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0063.tif,63,,,,,,,text,pd,,,,,,,Page 56,pasc_antiphonarium_1685_0063,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sk82,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0064.tif,64,,,,,,,text,pd,,,,,,,Page 57,pasc_antiphonarium_1685_0064,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sk9k,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0065.tif,65,,,,,,,text,pd,,,,,,,Page 58,pasc_antiphonarium_1685_0065,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028skb3,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0066.tif,66,,,,,,,text,pd,,,,,,,Page 59,pasc_antiphonarium_1685_0066,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028skcm,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0067.tif,67,,,,,,,text,pd,,,,,,,Page 60,pasc_antiphonarium_1685_0067,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028skd4,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0068.tif,68,,,,,,,text,pd,,,,,,,Page 61,pasc_antiphonarium_1685_0068,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028skfn,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0069.tif,69,,,,,,,text,pd,,,,,,,Page 62,pasc_antiphonarium_1685_0069,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028skg5,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0070.tif,70,,,,,,,text,pd,,,,,,,Page 63,pasc_antiphonarium_1685_0070,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028skhp,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0071.tif,71,,,,,,,text,pd,,,,,,,Page 64,pasc_antiphonarium_1685_0071,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028skj6,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0072.tif,72,,,,,,,text,pd,,,,,,,Page 65,pasc_antiphonarium_1685_0072,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028skkq,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0073.tif,73,,,,,,,text,pd,,,,,,,Page 66,pasc_antiphonarium_1685_0073,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028skm7,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0074.tif,74,,,,,,,text,pd,,,,,,,Page 67,pasc_antiphonarium_1685_0074,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sknr,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0075.tif,75,,,,,,,text,pd,,,,,,,Page 68,pasc_antiphonarium_1685_0075,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028skp8,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0076.tif,76,,,,,,,text,pd,,,,,,,Page 69,pasc_antiphonarium_1685_0076,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028skqs,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0077.tif,77,,,,,,,text,pd,,,,,,,Page 70,pasc_antiphonarium_1685_0077,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028skr9,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0078.tif,78,,,,,,,text,pd,,,,,,,Page 71,pasc_antiphonarium_1685_0078,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028skst,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0079.tif,79,,,,,,,text,pd,,,,,,,Page 72,pasc_antiphonarium_1685_0079,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sktb,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0080.tif,80,,,,,,,text,pd,,,,,,,Page 73,pasc_antiphonarium_1685_0080,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028skvv,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0081.tif,81,,,,,,,text,pd,,,,,,,Page 74,pasc_antiphonarium_1685_0081,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028skwc,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0082.tif,82,,,,,,,text,pd,,,,,,,Page 75,pasc_antiphonarium_1685_0082,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028skxw,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0083.tif,83,,,,,,,text,pd,,,,,,,Page 76,pasc_antiphonarium_1685_0083,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028skzd,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0084.tif,84,,,,,,,text,pd,,,,,,,Page 77,pasc_antiphonarium_1685_0084,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sm0d,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0085.tif,85,,,,,,,text,pd,,,,,,,Page 78,pasc_antiphonarium_1685_0085,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sm1x,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0086.tif,86,,,,,,,text,pd,,,,,,,Page 79,pasc_antiphonarium_1685_0086,r,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sm2f,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0087.tif,87,,,,,,,text,pd,,,,,,,Page 80,pasc_antiphonarium_1685_0087,v,,,,,
Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae,ark:/21198/zz0028sm3z,ark:/21198/zz0028sh1g,2,Completed,Page,antiphonarium/image/pasc_antiphonarium_1685_0088.tif,88,,,,,,,text,pd,,,,,,,Page 81,pasc_antiphonarium_1685_0088,r,,,,,
