Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,viewingHint,Duplicate,Delete in Title,Thumbnail,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Subject,Name.subject,Name.creator,Rights.servicesContact,Language,Name.repository,Name.artist,Rights.permission,Name.photographer,Name.correspondent,Description.note,Alt ID.local,Title,Date.creation,Format.extent,Date.normalized,Coverage.geographic,Alt ID.collection,Description.caption,Alt ID.url,Summary,Relation.url,Opac url,Finding Aid URL,Alt ID.mp4,Format.medium,Relation.isPartOf,Bucketeer State,IIIF Access URL
Huxley (Aldous) Collection,ark:/21198/zz002556x8/jq19gf37,ark:/21198/zz002556x8,,,Page,huxle/image/21198-zz002556x8_1652543_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002556x8%2Fjq19gf37
Huxley (Aldous) Collection,ark:/21198/zz002556x8/tc62p633,ark:/21198/zz002556x8,,,Page,huxle/image/21198-zz002556x8_1652704_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002556x8%2Ftc62p633
Huxley (Aldous) Collection,ark:/21198/zz0025570s/kb022p6d,ark:/21198/zz0025570s,,,Page,huxle/image/21198-zz0025570s_1652860_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025570s%2Fkb022p6d
Huxley (Aldous) Collection,ark:/21198/zz0025570s/jm49rc69,ark:/21198/zz0025570s,,,Page,huxle/image/21198-zz0025570s_1652899_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025570s%2Fjm49rc69
Huxley (Aldous) Collection,ark:/21198/zz0025572t/j3422x4s,ark:/21198/zz0025572t,,,Page,huxle/image/21198-zz0025572t_1653265_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025572t%2Fj3422x4s
Huxley (Aldous) Collection,ark:/21198/zz0025572t/j807n31r,ark:/21198/zz0025572t,,,Page,huxle/image/21198-zz0025572t_1653305_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025572t%2Fj807n31r
Huxley (Aldous) Collection,ark:/21198/zz0025573b/nb150g23,ark:/21198/zz0025573b,,,Page,huxle/image/21198-zz0025573b_1653363_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025573b%2Fnb150g23
Huxley (Aldous) Collection,ark:/21198/zz0025573b/h660nd4d,ark:/21198/zz0025573b,,,Page,huxle/image/21198-zz0025573b_1653401_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025573b%2Fh660nd4d
Huxley (Aldous) Collection,ark:/21198/zz0025578x/n982c87r,ark:/21198/zz0025578x,,,Page,huxle/image/21198-zz0025578x_1654127_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025578x%2Fn982c87r
Huxley (Aldous) Collection,ark:/21198/zz0025578x/t2043t7f,ark:/21198/zz0025578x,,,Page,huxle/image/21198-zz0025578x_1654369_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025578x%2Ft2043t7f
Huxley (Aldous) Collection,ark:/21198/zz002557kk/3t89cs6d,ark:/21198/zz002557kk,,,Page,huxle/image/21198-zz002557kk_1655723_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557kk%2F3t89cs6d
Huxley (Aldous) Collection,ark:/21198/zz002557kk/2t04r28x,ark:/21198/zz002557kk,,,Page,huxle/image/21198-zz002557kk_1655726_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557kk%2F2t04r28x
Huxley (Aldous) Collection,ark:/21198/zz002557m3/ts96ck8m,ark:/21198/zz002557m3,,,Page,huxle/image/21198-zz002557m3_1655729_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557m3%2Fts96ck8m
Huxley (Aldous) Collection,ark:/21198/zz002557m3/wx332f5f,ark:/21198/zz002557m3,,,Page,huxle/image/21198-zz002557m3_1655732_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557m3%2Fwx332f5f
Huxley (Aldous) Collection,ark:/21198/zz0025589x/q936hc1k,ark:/21198/zz0025589x,,,Page,huxle/image/21198-zz0025589x_1655798_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025589x%2Fq936hc1k
Huxley (Aldous) Collection,ark:/21198/zz0025589x/8106st46,ark:/21198/zz0025589x,,,Page,huxle/image/21198-zz0025589x_1655801_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025589x%2F8106st46
Huxley (Aldous) Collection,ark:/21198/zz002558h1/1870s48w,ark:/21198/zz002558h1,,,Page,huxle/image/21198-zz002558h1_1655819_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558h1%2F1870s48w
Huxley (Aldous) Collection,ark:/21198/zz002558h1/4753vk4r,ark:/21198/zz002558h1,,,Page,huxle/image/21198-zz002558h1_1655822_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558h1%2F4753vk4r
Huxley (Aldous) Collection,ark:/21198/zz002558k2/s2134z5j,ark:/21198/zz002558k2,,,Page,huxle/image/21198-zz002558k2_1655829_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558k2%2Fs2134z5j
Huxley (Aldous) Collection,ark:/21198/zz002558k2/tn75t97s,ark:/21198/zz002558k2,,,Page,huxle/image/21198-zz002558k2_1655837_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558k2%2Ftn75t97s
Huxley (Aldous) Collection,ark:/21198/zz002558mk/xk680d11,ark:/21198/zz002558mk,,,Page,huxle/image/21198-zz002558mk_1655840_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558mk%2Fxk680d11
Huxley (Aldous) Collection,ark:/21198/zz002558mk/bs16rt0s,ark:/21198/zz002558mk,,,Page,huxle/image/21198-zz002558mk_1655843_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558mk%2Fbs16rt0s
Huxley (Aldous) Collection,ark:/21198/zz002558n3/hn57d15j,ark:/21198/zz002558n3,,,Page,huxle/image/21198-zz002558n3_1655846_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558n3%2Fhn57d15j
Huxley (Aldous) Collection,ark:/21198/zz002558n3/d887t652,ark:/21198/zz002558n3,,,Page,huxle/image/21198-zz002558n3_1655849_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558n3%2Fd887t652
Huxley (Aldous) Collection,ark:/21198/zz002558pm/2441r25c,ark:/21198/zz002558pm,,,Page,huxle/image/21198-zz002558pm_1655852_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558pm%2F2441r25c
Huxley (Aldous) Collection,ark:/21198/zz002558pm/3r425h85,ark:/21198/zz002558pm,,,Page,huxle/image/21198-zz002558pm_1655855_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558pm%2F3r425h85
Huxley (Aldous) Collection,ark:/21198/zz002558s5/c1487b15,ark:/21198/zz002558s5,,,Page,huxle/image/21198-zz002558s5_1655861_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558s5%2Fc1487b15
Huxley (Aldous) Collection,ark:/21198/zz002558s5/js392m2f,ark:/21198/zz002558s5,,,Page,huxle/image/21198-zz002558s5_1655864_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558s5%2Fjs392m2f
Huxley (Aldous) Collection,ark:/21198/zz002558x7/9888nj7h,ark:/21198/zz002558x7,,,Page,huxle/image/21198-zz002558x7_1655879_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558x7%2F9888nj7h
Huxley (Aldous) Collection,ark:/21198/zz002558x7/t009gr97,ark:/21198/zz002558x7,,,Page,huxle/image/21198-zz002558x7_1655882_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558x7%2Ft009gr97
Huxley (Aldous) Collection,ark:/21198/zz00255939/rm10vk60,ark:/21198/zz00255939,,,Page,huxle/image/21198-zz00255939_1655897_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255939%2Frm10vk60
Huxley (Aldous) Collection,ark:/21198/zz00255939/gk27sk6c,ark:/21198/zz00255939,,,Page,huxle/image/21198-zz00255939_1655900_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255939%2Fgk27sk6c
Huxley (Aldous) Collection,ark:/21198/zz0025595b/zh54cs9w,ark:/21198/zz0025595b,,,Page,huxle/image/21198-zz0025595b_1655909_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025595b%2Fzh54cs9w
Huxley (Aldous) Collection,ark:/21198/zz0025595b/fb44238r,ark:/21198/zz0025595b,,,Page,huxle/image/21198-zz0025595b_1655912_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025595b%2Ffb44238r
Huxley (Aldous) Collection,ark:/21198/zz002559cf/s850xj41,ark:/21198/zz002559cf,,,Page,huxle/image/21198-zz002559cf_1655933_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002559cf%2Fs850xj41
Huxley (Aldous) Collection,ark:/21198/zz002559cf/dc05ch3p,ark:/21198/zz002559cf,,,Page,huxle/image/21198-zz002559cf_1655936_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002559cf%2Fdc05ch3p
Huxley (Aldous) Collection,ark:/21198/zz002559dz/b914194h,ark:/21198/zz002559dz,,,Page,huxle/image/21198-zz002559dz_1655939_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002559dz%2Fb914194h
Huxley (Aldous) Collection,ark:/21198/zz002559dz/pt38qc82,ark:/21198/zz002559dz,,,Page,huxle/image/21198-zz002559dz_1655946_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002559dz%2Fpt38qc82
Huxley (Aldous) Collection,ark:/21198/zz002559fg/q224m989,ark:/21198/zz002559fg,,,Page,huxle/image/21198-zz002559fg_1655949_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002559fg%2Fq224m989
Huxley (Aldous) Collection,ark:/21198/zz002559fg/gk356v72,ark:/21198/zz002559fg,,,Page,huxle/image/21198-zz002559fg_1655952_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002559fg%2Fgk356v72
Huxley (Aldous) Collection,ark:/21198/zz002559hh/5n28nk5b,ark:/21198/zz002559hh,,,Page,huxle/image/21198-zz002559hh_1655958_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002559hh%2F5n28nk5b
Huxley (Aldous) Collection,ark:/21198/zz002559hh/1d89bw2h,ark:/21198/zz002559hh,,,Page,huxle/image/21198-zz002559hh_1655961_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002559hh%2F1d89bw2h
Huxley (Aldous) Collection,ark:/21198/zz002559m2/dx25t17j,ark:/21198/zz002559m2,,,Page,huxle/image/21198-zz002559m2_1655970_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002559m2%2Fdx25t17j
Huxley (Aldous) Collection,ark:/21198/zz002559m2/hp93tm68,ark:/21198/zz002559m2,,,Page,huxle/image/21198-zz002559m2_1655973_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002559m2%2Fhp93tm68
Huxley (Aldous) Collection,ark:/21198/zz002559t5/n588np3j,ark:/21198/zz002559t5,,,Page,huxle/image/21198-zz002559t5_1655994_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002559t5%2Fn588np3j
Huxley (Aldous) Collection,ark:/21198/zz002559t5/sk31nf30,ark:/21198/zz002559t5,,,Page,huxle/image/21198-zz002559t5_1655997_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002559t5%2Fsk31nf30
Huxley (Aldous) Collection,ark:/21198/zz00255bcx/8w35bm8q,ark:/21198/zz00255bcx,,,Page,huxle/image/21198-zz00255bcx_1656027_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255bcx%2F8w35bm8q
Huxley (Aldous) Collection,ark:/21198/zz00255bcx/zn602c36,ark:/21198/zz00255bcx,,,Page,huxle/image/21198-zz00255bcx_1656031_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255bcx%2Fzn602c36
Huxley (Aldous) Collection,ark:/21198/zz00255bh0/zt432k23,ark:/21198/zz00255bh0,,,Page,huxle/image/21198-zz00255bh0_1656048_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255bh0%2Fzt432k23
Huxley (Aldous) Collection,ark:/21198/zz00255bh0/8142dv30,ark:/21198/zz00255bh0,,,Page,huxle/image/21198-zz00255bh0_1656052_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255bh0%2F8142dv30
Huxley (Aldous) Collection,ark:/21198/zz00255bjh/k512qh2r,ark:/21198/zz00255bjh,,,Page,huxle/image/21198-zz00255bjh_1656057_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255bjh%2Fk512qh2r
Huxley (Aldous) Collection,ark:/21198/zz00255bjh/b015897n,ark:/21198/zz00255bjh,,,Page,huxle/image/21198-zz00255bjh_1656061_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255bjh%2Fb015897n
Huxley (Aldous) Collection,ark:/21198/zz00255bk1/09339x3n,ark:/21198/zz00255bk1,,,Page,huxle/image/21198-zz00255bk1_1656066_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255bk1%2F09339x3n
Huxley (Aldous) Collection,ark:/21198/zz00255bk1/jr30n47x,ark:/21198/zz00255bk1,,,Page,huxle/image/21198-zz00255bk1_1656069_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255bk1%2Fjr30n47x
Huxley (Aldous) Collection,ark:/21198/zz00255bq3/s049tj6p,ark:/21198/zz00255bq3,,,Page,huxle/image/21198-zz00255bq3_1656081_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255bq3%2Fs049tj6p
Huxley (Aldous) Collection,ark:/21198/zz00255bq3/rz40fr24,ark:/21198/zz00255bq3,,,Page,huxle/image/21198-zz00255bq3_1656084_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255bq3%2Frz40fr24
Huxley (Aldous) Collection,ark:/21198/zz00255brm/2394gv60,ark:/21198/zz00255brm,,,Page,huxle/image/21198-zz00255brm_1656087_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255brm%2F2394gv60
Huxley (Aldous) Collection,ark:/21198/zz00255brm/d505vs2h,ark:/21198/zz00255brm,,,Page,huxle/image/21198-zz00255brm_1656090_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255brm%2Fd505vs2h
Huxley (Aldous) Collection,ark:/21198/zz00255bx6/dt381v4g,ark:/21198/zz00255bx6,,,Page,huxle/image/21198-zz00255bx6_1656108_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255bx6%2Fdt381v4g
Huxley (Aldous) Collection,ark:/21198/zz00255bx6/dm19079k,ark:/21198/zz00255bx6,,,Page,huxle/image/21198-zz00255bx6_1656112_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255bx6%2Fdm19079k
Huxley (Aldous) Collection,ark:/21198/zz00255cdx/2471st61,ark:/21198/zz00255cdx,,,Page,huxle/image/21198-zz00255cdx_1656138_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255cdx%2F2471st61
Huxley (Aldous) Collection,ark:/21198/zz00255cdx/sg51rd63,ark:/21198/zz00255cdx,,,Page,huxle/image/21198-zz00255cdx_1656142_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255cdx%2Fsg51rd63
Huxley (Aldous) Collection,ark:/21198/zz00255chg/9q54b527,ark:/21198/zz00255chg,,,Page,huxle/image/21198-zz00255chg_1656154_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255chg%2F9q54b527
Huxley (Aldous) Collection,ark:/21198/zz00255chg/8k00496m,ark:/21198/zz00255chg,,,Page,huxle/image/21198-zz00255chg_1656157_master.tif,2,,,,,,,still image,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255chg%2F8k00496m
Huxley (Aldous) Collection,ark:/21198/zz00255cr3/4809td9c,ark:/21198/zz00255cr3,,,Page,huxle/image/21198-zz00255cr3_1656183_master.tif,1,,,,,,,still image,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255cr3%2F4809td9c
