Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,viewingHint,Duplicate,Delete in Title,Thumbnail,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Subject,Name.subject,Name.creator,Rights.servicesContact,Language,Name.repository,Name.artist,Rights.permission,Name.photographer,Name.correspondent,Description.note,Alt ID.local,AltTitle.other,Title,Date.creation,Format.extent,Date.normalized,Coverage.geographic,Alt ID.collection,Description.caption,Alt ID.url,Summary,Relation.url,Opac url,Finding Aid URL,Alt ID.mp4,Format.medium,Relation.isPartOf,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Huxley (Aldous) Collection,ark:/21198/zz0025574v,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz0025574v_1653505_master.tif,20,,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Huxley, Maria, $d 1899-1955",,,zxx,,,Y,,,"Writer Aldous Huxley and first wife Maria Nys Huxley (standing to Mr. Huxley's right), with unidentified woman. Circa 1940-1949.",YRLSC_2009_00020,,Aldous and Maria Huxley with unidentified woman [descriptive],1940-1949,1 photograph : b&w,1940/1949,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025574v,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025574v/manifest
Huxley (Aldous) Collection,ark:/21198/zz0025575c,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz0025575c_1653708_master.tif,21,,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Huxley, Maria, $d 1899-1955",,,zxx,,,Y,,,,YRLSC_2009_00021,,"Aldous and Maria Huxley, walking on sidewalk, Los Angeles [descriptive]",1945-1955,1 photograph : b&w,1945/1955,Los Angeles,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025575c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025575c/manifest
Huxley (Aldous) Collection,ark:/21198/zz0025576w,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz0025576w_1653816_master.tif,22,,,,,,black-and-white photographs,still image,copyrighted,"Anthropologists--United States|~|Authors, English--20th century|~|Epidemiologists--United States","Huxley, Aldous, 1894-1963|~|Huxley, Matthew",,,zxx,,,Y,,,"Writer Aldous Huxley seated outside with son Matthew Huxley, circa 1937-1947.",YRLSC_2009_00022,,Aldous Huxley seated outside with son Matthew Huxley [descriptive],1937-1947,1 photograph : b&w,1937/1947,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025576w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025576w/manifest
Huxley (Aldous) Collection,ark:/21198/zz0025577d,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz0025577d_1654067_master.tif,23,,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Huxley, Maria, $d 1899-1955",,,zxx,,,Y,,,"Writer Aldous Huxley with first wife Maria Nys Huxley, standing in front of a house with unidentified man and woman (unidentifed man is standing in between both women).",YRLSC_2009_00023,,Aldous and Maria Huxley with an unidentified man and woman in front of house [descriptive],1945-1955,1 photograph : b&w,1945/1955,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025577d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025577d/manifest
Huxley (Aldous) Collection,ark:/21198/zz0025579f,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz0025579f_1654517_master.tif,25,private,,,,,black-and-white photographs,still image,copyrighted,"Anthropologists--United States|~|Authors, English--20th century|~|Epidemiologists--United States","Huxley, Aldous, 1894-1963|~|Huxley, Maria, $d 1899-1955|~|Huxley, Mark Trevenen|~|Huxley, Matthew",,,zxx,,,Y,,,"Writer Aldous Huxley (seated with baby, possibly his grandson Trevenen), first wife Maria (in foreground), and son Matthew (in background) with unidentified people in front of a Christmas tree. Circa 1945-1955.",YRLSC_2009_00025,,"Aldous, Maria and Matthew Huxley with unidentified people in front of Christmas tree [descriptive]",1945-1955,,1945/1955,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025579f,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025579f/manifest
Huxley (Aldous) Collection,ark:/21198/zz002557bz,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz002557bz_1654746_master.tif,26,private,,true,,,photographs,still image,copyrighted,"Huxley, Aldous, 1894-1963--Archives.","Huxley, Aldous, 1894-1963|~|Huxley, Maria, $d 1899-1955|~|Huxley, Matthew",,,,,,Y,,,,YRLSC_2009_00026,,DUPLICATE TO zz0025579f (Huxley Collection),,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557bz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002557bz/manifest
Huxley (Aldous) Collection,ark:/21198/zz002557cg,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz002557cg_1654861_master.tif,27,,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Huxley, Maria, $d 1899-1955",,,zxx,,,Y,,,"Writer Aldous Huxley and first wife Maria Nys Huxley, standing in front of Huxley home in Wrightwood, CA. Circa 1946-1949.",YRLSC_2009_00027,,"Aldous and Maria Huxley standing in front of Huxley house, Wrightwood CA [descriptive]",1946-1949,1 photograph: b&w,1946/1949,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557cg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002557cg/manifest
Huxley (Aldous) Collection,ark:/21198/zz002557d0,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz002557d0_1655047_master.tif,28,private,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century|~|Houses",,,,zxx,,,Y,,,"The exterior of the home of writer Aldous Huxley and his family, in Wrightwood, CA during snow season, circa late 1940s (1946-1949).",YRLSC_2009_00028,,"Huxley family house during snow season in Wrightwood, CA [descriptive]",1946-1949,,1946/1949,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557d0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002557d0/manifest
Huxley (Aldous) Collection,ark:/21198/zz002557fh,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz002557fh_1655218_master.tif,29,private,,,,,black-and-white photographs,still image,copyrighted,,"Huxley, Aldous, $d 1894-1963 $x Homes and haunts",,,zxx,,,Y,,,"Appears to be the same livingroom that is seen in image YRLSC_2009_00030.|~|Identified as the interior of the Huxley home, possibly the livingroom: two doorways, stairs, a bookshelf, the corner of a couch. The location of the house is unknown.",YRLSC_2009_00029,,Huxley house interior [descriptive],[1945-1955?],,1945/1955,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557fh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002557fh/manifest
Huxley (Aldous) Collection,ark:/21198/zz002557g1,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz002557g1_1655386_master.tif,30,,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Huxley, Maria, $d 1899-1955",,,zxx,,,Y,,,,0030|~|YRLSC_2009_00030,,Aldous and Maria Huxley seated on a couch,[between 1919 and 1955],1 photograph : b&w,1919/1955,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557g1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002557g1/manifest
Huxley (Aldous) Collection,ark:/21198/zz002557hj,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz002557hj_1655574_master.tif,31,,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century|~|Gurus--United States","Huxley, Aldous, 1894-1963|~|Prabhavananda, Swami, 1893-1976|~|Huxley, Maria, $d 1899-1955",,,zxx,,,Y,,,"Writer Aldous Huxley and first wife Maria Nys Huxley, seated with spiritual leader Swami Prabhavanda and two unidenitified women. Circa 1940-1949.",YRLSC_2009_00031,,Aldous and Maria Huxley with Swami Prabhavanda and two unidentified women [descriptive],1940-1949,1 photograph : b&w,1940/1949,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557hj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002557hj/manifest
Huxley (Aldous) Collection,ark:/21198/zz002557j2,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz002557j2_1655720_master.tif,32,,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Prabhavananda, Swami, 1893-1976|~|Huxley, Maria, $d 1899-1955",,,zxx,,,Y,,,,0032|~|YRLSC_2009_00032,,Aldous and Maria Huxley with Swami Prabhavanda and one unidentified woman,[between 1938 and 1955],1 photograph : b&w,1938/1955,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557j2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002557j2/manifest
Huxley (Aldous) Collection,ark:/21198/zz002557nm,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz002557nm_1655735_master.tif,35,,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century|~|Biologists $z Great Britain","Huxley, Aldous, 1894-1963|~|Huxley, Maria, $d 1899-1955|~|Huxley, Julian, 1887-1975",,,zxx,,,Y,,,Writer Aldous Huxley photographed with first wife Maria Nys Huxley and brother Julian Huxley (Aldous and Maria's eyes are closed). Circa 1945-1955.,YRLSC_2009_00035,,Aldous and Maria Huxley with Julian Huxley [descriptive],1945-1955,1 photograph : b&w,1945/1955,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557nm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002557nm/manifest
Huxley (Aldous) Collection,ark:/21198/zz002557p4,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz002557p4_1655738_master.tif,36,,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Hovde, Ellen|~|Huxley, Teresa|~|Huxley, Mark Trevenen",,,zxx,,,Y,,,"Writer Aldous Huxley, seated with grandson Tevennen (left), granddaughter Tessa (right), and unidentified woman (possibly Ellen Hovde, first wife of Mr. Huxley's son Matthew).",YRLSC_2009_00036,,Aldous Huxley with grandchildren Trevenen and Tessa Huxley and unidentifed woman [descriptive],1951-1955,1 photograph : b&w,1951/1955,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557p4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002557p4/manifest
Huxley (Aldous) Collection,ark:/21198/zz002557qn,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz002557qn_1655741_master.tif,37,,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Huxley, Mark Trevenen",,,zxx,,,Y,,,"Writer Aldous Huxley seated with grandson Trevenen, circa 1951-1955.",YRLSC_2009_00037,,Aldous Huxley with grandson Trevenen Huxley [descriptive],1951-1955,1 photograph : b&w,1951/1955,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557qn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002557qn/manifest
Huxley (Aldous) Collection,ark:/21198/zz002557r5,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz002557r5_1655744_master.tif,38,private,,,,,black-and-white photographs,still image,copyrighted,,"Huxley, Teresa",,,zxx,,,Y,"Sutro, Barbara",,"Portrait (profile) of Tessa Huxley (granddaughter of writer Aldous Huxley), seated on a statue, circa late 1950s-early 1960s. Signed by photographer Barbara Sutro.",YRLSC_2009_00038,,"Tessa Huxley portrait profile, seated [descriptive]",1958-1963,,1958/1963,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557r5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002557r5/manifest
Huxley (Aldous) Collection,ark:/21198/zz002557sp,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz002557sp_1655747_master.tif,39,private,,,,,black-and-white photographs,still image,copyrighted,,"Huxley, Mark Trevenen",,,zxx,,,Y,"Sutro, Barbara",,"Portrait (close-up) of Trevenen Huxley, grandson of writer Aldous Huxley, circa late 1950s-early 1960s. Signed by photographer Barbara Sutro.",YRLSC_2009_00039,,"Trevenen Huxley portrait, close up [descriptive]",1957-1960,,1957/1960,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557sp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002557sp/manifest
Huxley (Aldous) Collection,ark:/21198/zz002557t6,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz002557t6_1655750_master.tif,40,private,,,,,black-and-white photographs,still image,copyrighted,,"Huxley, Mark Trevenen",,,zxx,,,Y,,,"Trevenen Huxley, grandson of writer Aldous Huxley, seated at a typewriter, circa early 1950s.",YRLSC_2009_00040,,Trevenen Huxley at typewriter [descriptive],1952-1955,,1952/1955,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557t6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002557t6/manifest
Huxley (Aldous) Collection,ark:/21198/zz002557vq,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz002557vq_1655753_master.tif,41,private,,,,,black-and-white photographs,still image,copyrighted,,"Huxley, Mark Trevenen",,,zxx,,,Y,,,"Trevenen Huxley, grandson of writer Aldous Huxley, with two unidentified boys, circa late 1950s-early 1960s.",YRLSC_2009_00041,,Trevenen Huxley with two unidentified boys [descriptive],1958-1963,,1958/1963,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557vq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002557vq/manifest
Huxley (Aldous) Collection,ark:/21198/zz002557w7,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz002557w7_1655756_master.tif,42,private,,,,,black-and-white photographs,still image,copyrighted,,"Huxley, Mark Trevenen",,,zxx,,,Y,,,"Trevenen Huxley, grandson of writer Aldous Huxley, seated with legs crossed and holding a cat, circa early 1960s.",YRLSC_2009_00042,,Trevenen Huxley seated with cat [descriptive],1960-1963,,1960/1963,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557w7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002557w7/manifest
Huxley (Aldous) Collection,ark:/21198/zz002557xr,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz002557xr_1655759_master.tif,43,private,,,,,black-and-white photographs,still image,copyrighted,Anthropologists--United States|~|Epidemiologists--United States,"Huxley, Matthew",,,zxx,,,Y,,,"Matthew Huxley, son of writer Aldous Huxley, seated outside, circa mid 1950s-early 1960s.",YRLSC_2009_00043,,Matthew Huxley seated outside [descriptive],1955-1963,,1955/1963,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557xr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002557xr/manifest
Huxley (Aldous) Collection,ark:/21198/zz002557z8,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz002557z8_1655762_master.tif,44,private,,,,,black-and-white photographs,still image,copyrighted,Anthropologists--United States|~|Epidemiologists--United States,"Huxley, Teresa|~|Huxley, Mark Trevenen|~|Huxley, Matthew",,,zxx,,,Y,,,"Matthew Huxley (son of writer Aldous Huxley) with his two children, son Trevenen and daughter Tessa, circa early 1960s.",YRLSC_2009_00044,,Matthew Huxley with children Trevenen and Tessa Huxley [descriptive],1960-1963,,1960/1963,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557z8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002557z8/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255808,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz00255808_1655777_master.tif,45,,,,,,black-and-white photographs,still image,copyrighted,"Food writers--United States|~|Anthropologists--United States|~|Authors, English--20th century|~|Epidemiologists--United States","Huxley, Aldous, 1894-1963|~|Huxley, Judith|~|Huxley, Teresa|~|Huxley, Mark Trevenen|~|Huxley, Matthew",,,zxx,,,Y,,,"Image YRLSC_2009_00172 was cropped from this photograph.|~|Writer Aldous Huxley with son Matthew, grandchildren Trevenen and Tessa, daughter-in-law Judith Wallet Bordage Huxley (Matthew's second wife), and an unidentified man. March 22, 1963.",YRLSC_2009_00045,,"Aldous Huxley with Matthew, Treveven and Tessa Huxley, Judith Wallet Bordage Huxley and unidentified man [descriptive]","[March 22, 1963]",1 photograph : b&w,1963-03-22,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255808,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255808/manifest
Huxley (Aldous) Collection,ark:/21198/zz0025581s,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz0025581s_1655780_master.tif,46,,,,,,black-and-white photographs,still image,copyrighted,Food writers--United States|~|Anthropologists--United States|~|Epidemiologists--United States,"Huxley, Judith|~|Huxley, Matthew",,,zxx,,,Y,,,"Matthew Huxley, son of writer Aldous Huxley, with second wife Judith Wallet Bordage Huxley and an unidentified man. March 22, 1963.",YRLSC_2009_00046,,Matthew Huxley with Judith Wallet Bordage Huxley and unidentified man [descriptive],"[March 22, 1963]",1 photograph: b&w,1963-03-22,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025581s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025581s/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255829,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz00255829_1655771_master.tif,47,private,,,,,black-and-white photographs,still image,copyrighted,Anthropologists--United States|~|Epidemiologists--United States,"Huxley, Matthew",,,zxx,,,Y,,,"Matthew Huxley, son of writer Aldous Huxley, holding a cigarette in his mouth and standing next to an unidentified man, March 21, 1963.",YRLSC_2009_00047,,Matthew Huxley with cigarette and unidentified man [descriptive],"[March 21, 1963]",,1963-03-21,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255829,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255829/manifest
