Item ARK,Parent ARK,Object Type,Title,Item Sequence,File Name,AltTitle.other,Thumbnail,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject topic,Subject geographic,Subject temporal,viewingHint,Contributor,IIIF Manifest URL
ark:/21198/z1087z9x,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,International Book Year 1972: Exhibition of Books,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v42qn0,Ephemera Collection,,"August 8, 1972",1972-08-08,13.1939,59.5432,"Programme of events for the International Book Year Exhibition of Books held on 8 August 1972 at Unity House, Roebuck Street.",21.7 cm x 16.5 cm,2 pages,,programs (documents)|~|booklets,,Collection C319|~|Box A-B|~|Folder 15,National Commission for UNESCO - Barbados,,,Barbados,National Commission for UNESCO - Barbados,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Exhibitions|~|Books,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1087z9x/manifest
ark:/21198/z1087zbc,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Sean Jackson in Concert,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x083ph,Ephemera Collection,,"May 2, 1999",1999-05-02,13.1939,59.5432,"Program for a concert by Sean Jackson at St. Patrick's Cathedral in Jemmotts Lane, St. Michael. Sean Jackson is an accomplished Barbadian organist and pianist.",21.6 cm x 13.9 cm,2 pages,,programs (documents),,Box Ci-Cz|~|Folder 1,,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Concerts|~|Music,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1087zbc/manifest
ark:/21198/z1087zct,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,A Farewell Service: Monica Agnes Skeete,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f3mkt,Ephemera Collection,,"January 2, 1998",1998-01-02,13.1939,59.5432,"Booklet for the funeral service of Monica Agnes Skeete, late of #71 Atlantic Shores, Christ Church, held at the Chapel of St. James Cemetery on January 2, 1998, at 3:00pm.",14 x 22 cm,4 pages,,Program booklets|~|Memorial service programs,,Collection C319|~|Box D-F,,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Funerals|~|Funeral service,Saint James (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1087zct/manifest
ark:/21198/z1087zd8,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,1966 Parade in Honour of the Birthday of Her Majesty Queen Elizabeth II,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n40j2,Ephemera Collection,,"April 18, 1966",1966-04-18,13.1939,59.5432,"Booklet with the program of activities during the parade in honor of Queen Elizabeth II that took place on April 18, 1966 at the Garrison Savannah.",21.8 cm x 14.7 cm,8 pages,,Program booklets|~|Event programs|~|Performance programs,,Collection C319|~|Box KQ|~|Folder 7,Government of Barbados,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Parades|~|Military tattoos (Ceremonies, honors, and salutes)",Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1087zd8/manifest
ark:/21198/z1087zfq,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Workshop on Techniques for Effective Participation in the Caribbean Information System,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm39qf,Ephemera Collection,,March 1981,1981-03,13.1939,59.5432,"Workshop held at the Wildey Conference Centre between March 9-13, 1981, offering techniques for effective participation in the Caribbean information system. The workshop was co-sponsored by the Economic Commission of Latin America, the Ministry of Information, and the Library Association of Barbados.",20.9 cm x 15 cm,6 pages,,programs (documents)|~|brochures,,Collection C320|~|Box RS|~|Folder 11,Economic Commission for Latin America|~|Ministry of Information|~|Barbados Library Association,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Workshops|~|Information systems management|~|Library associations,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1087zfq/manifest
ark:/21198/z10c6ns4,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Premier Orchestral Concert : The Barbados Strings,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm46bj,Ephemera Collection,,"September 3, 1965",1965-09-03,13.1939,59.5432,"Program for concert by the Barbados Strings orchestra held at Combermere School on Friday, September 3, 1965.",21.6 cm x 16.6 cm,3 pages,,programs (documents),,Box Ci-Cz|~|Folder 1,Barbados Strings Orchestra,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Concerts|~|Music|~|Orchestras,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10c6ns4/manifest
ark:/21198/z10c6ntk,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"Resolution by Caribbean League of America and British Guiana Benevolent Association on April 20, 1960",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z33vsd,Ephemera Collection,,"April 20, 1960",1960-04-20,13.1939,59.5432,Resolution by the Caribbean League of America and the British Guiana Benevolent Association against the Apartheid in South Africa. The Resolution accompanied the booklet with the program of the Federation Anniversary Luncheon organized by the American Caribbean Women's Association.,35.6 cm x 21.5 cm,3 pages,,Resolutions,,Collection C319|~|Box KQ|~|Folder 4,Caribbean League of America|~|British Guiana Benevolent Association,,,USA,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Resolutions|~|Benevolent societies|~|Anti-apartheid movements|~|Anti-apartheid activists,New York (U.S.A.),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10c6ntk/manifest
ark:/21198/z10g5c4z,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Arts Festival 1973,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1418shr,Ephemera Collection,,February 1973,1973-02-01/1973-02-28,13.1939,59.5432,"Program of events for the Barbados Arts Festival 1973, held at Combermere School Hall.",21.5 cm x 16.5 cm,7 pages,,programs (documents),,Collection C319|~|Box A-B|~|Folder 9,"Ministry of Education, Youth Affairs, Community Development and Sport - Community Development and Youth Affairs Divisions",,,Barbados,"Ministry of Education, Youth Affairs, Community Development and Sport",Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Art festivals|~|Events|~|Arts, Caribbean",Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10g5c4z/manifest
ark:/21198/z10g5c5d,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,La Jabless,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx38gk,Ephemera Collection,,Between 2000 and 2006,2000/2006,13.1939,59.5432,"Flyer for the film ""La Jabless"" produced by Filmgroup and directed by Shamkoe Pile, presented during the Bridgetown Film Festival. In Trinidadian folklore, La Diablesse (or La Jabless) is a she-devil with one foot like a cow's.",10.5 x 14 cm,2 pages,,Fliers,,Collection C319|~|Box D-F,Filmgroup|~|Shamkoe Pile,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Festivals|~|Film festivals,Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10g5c5d/manifest
ark:/21198/z10g5c6v,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Queen's College Centenary 1883-1983,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m542d,Ephemera Collection,,"January 28, 1983",1983-01-28,13.1939,59.5432,"Booklet containing the order of service on the occasion of the centenary of Queen's College in Barbados at the Cathedral of St. Michael and All Angels on January 28, 1981.",22.8 cm x 18.4 cm,20 pages,,programs (documents)|~|booklets,,Collection C320|~|Box RS|~|Folder 7,Queen's College,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Religion -- Rites and ceremonies|~|Schools|~|Anniversaries,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10g5c6v/manifest
ark:/21198/z10k42kq,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,National Independence Festival of Creative Arts (NIFCA) '75 Finals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k66g5j,Ephemera Collection,,1975,1975,13.1939,59.5432,Program of the National Indepence Festival of Creative Arts '75 Finals.,33 cm x 21.5 cm,10 pages,,programs (documents),,Collection C319|~|Box A-B|~|Folder 6,NIFCA Management Committee,,,Barbados,National Cultural Foundation,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Anniversaries|~|Arts, Caribbean|~|Performances|~|Competitions",Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10k42kq/manifest
ark:/21198/z10k42m5,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Programme of Recital at St. Michael's Cathedral,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030n4k,Ephemera Collection,,"October 6, 1960",1960-10-06,13.1939,59.5432,"Program for a music and song recital held at St. Michael's Cathedral on October 6, 1960. Soloists: Doris Provencal, Arnold Morralee, Gerald Hudson, Joan Burrowes, Neville King, and the Cathedral Choir.",21.6 cm x 16.6 cm,2 pages,,programs (documents)|~|concert programs,,Collection C319|~|Box C-Ch,St. Michael's Cathedral Church,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Church|~|Arts and culture -- Music|~|Concerts|~|Choirs (Music),Saint Michael (Barbados),20th century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10k42m5/manifest
ark:/21198/z10k42nm,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Barbados Industries and Trade Fair,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m24q3,Ephemera Collection,,February 1955,1955-02,13.1939,59.5432,"Booklet for the Barbados Industries and Trade Fair which took place under the distinguished patronage of His Excellency the Governor, Sir Robert Arundell and Lady Arundell, and coincided with the visit of Princess Margaret to Barbados. The booklet contains the schedule of the fair, information about the exhibitors, their products, and many industry advertisements. The Fair was held at Queen's Park on February 10-12, 1955.",14 x 22 cm,67 pages,,Program booklets,,Collection C319|~|Box D-F,Barbados Industries and Trade Fair Committee of Management,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Exhibitions|~|Trade shows|~|Industrial exhibitions,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10k42nm/manifest
ark:/21198/z10k42p2,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""Grinding Air, Climbing to Salvation: The Treadmill as a Civilising Instrument?"": Lecture by Prof. Sidney Mintz",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b29rbp,Ephemera Collection,,"February 4, 2003",2003-02-04,13.1939,59.5432,"Brochure with the program for the twentieth Elsa Goveia Memorial Lecture, held on February 3, 2003. The title of the lecture was ""Grinding Air, Climbing to Salvation: The Treadmill as a Civilising Instrument?"" and it was delivered by Prof. Sidney Mintz at Lecture Theatre One, Teaching Centre, University of West Indies, Cave Hill campus. Prof. Elsa Goveia, a Guyanese by birth, was the first woman to achieve the distinction of being a professor at UWI and had a teaching career spanning thirty years with a focus on West Indian history.",21.6 cm x 13.9 cm,4 pages,,Brochures|~|Event programs|~|Lectures,,Collection C319|~|Box KQ|~|Folder 2,University of West Indies|~|Department of History and Philosophy,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Lectures|~|Memorial services|~|Treadmills (exercise equipment)|~|Treadmill exercise,Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10k42p2/manifest
ark:/21198/z10k42qh,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Adventureland Fair,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1709xpm,Ephemera Collection,,October 1995,1995-10,13.1939,59.5432,"Booklet containing program of events for the Adventureland Fair, presented for Reading Fest 1995. The event took place between October 12-14, 1995, at the Sherbourne Conference Centre, Two Mile Hill, St. Michael.",21.6 cm x 12.6 cm,6 pages,,programs (documents)|~|booklets,,Collection C320|~|Box RS|~|Folder 1,Reading Fest '95,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Reading|~|Literacy|~|Reading promotion,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10k42qh/manifest
ark:/21198/z10p2s1h,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Multi-Faith Observance for Commonwealth Day: Celebrating the Diamond Jubilee of Her Majesty Queen Elizabeth II,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn90h0,Ephemera Collection,,"March 12, 2012",2012-03-12,13.1939,59.5432,"Program for a multi-faith observance of the Commowealth Day arranged by the Barbados branch of The Royal Commonwealth Society in the presence of Sir Clifford Husbands, Govenor General of Barbados, held at St. Patrick's Cathedral, Bridgetown, St. Michael.",18.7 cm x 13.9 cm,20 pages,,programs (documents)|~|booklets,,Collection C319|~|Box C-Ch,Royal Commonwealth Society,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Commonwealth countries|~|Politics and government -- Foreign relations|~|Religion -- Ecumenical movement|~|Religion -- Rites and ceremonies,Saint Michael (Barbados),21st century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10p2s1h/manifest
ark:/21198/z10p2s2z,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Barbados National Trust Open Houses 1975,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4rhj,Ephemera Collection,,1975,1975,13.1939,59.5432,"Brochure with timetable and description of ""Open Houses"" held at various properties on the island, organized by the Barbados National Trust during the months of January, February and March of 1975.",20.4 cm x 12.7 cm,4 pages,,Brochures|~|Event programs,,Collection C319|~|Box GHI|~|Folder 14,Barbados National Trust,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Tours|~|Historic sites|~|Barbados,,20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10p2s2z/manifest
ark:/21198/z10p2s3d,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Tour of Development Projects in Trinidad and Tobago,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7z2q,Ephemera Collection,The verso of each photograph in this booklet bears the stamp of the Public Relations Division of the Office of the Prime Minister and a sticker with a caption for the photograph. Some stickers cover partially the stamps.,July 1963,1963-07,13.1939,59.5432,Booklet containing program and images of the tour of development projects in Trinidad and Tobago during July 1963. Each picture carries a detailed description on the back side.,19.4 cm x 13.8 cm,17 pages,,programs (documents)|~|booklets,,Collection C320|~|Box T|~|Folder 11,Conference of Commonwealth Caribbean Countries,,,Trinidad and Tobago,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Socioeconomic conditions and development -- Infrastructure (Economics)|~|Trinidad and Tobago--Politics and government--1962-,Trinidad and Tobago,20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10p2s3d/manifest
ark:/21198/z10s1gcx,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Observance for Commonwealth Day,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f7880p,Ephemera Collection,,1990,1990,13.1939,59.5432,"Booklet of observance, containing Commonwealth aims & objectives, order of observance, message from the Queen, procession of flags, national anthem, and concluding prayers (including Baha'i, Buddhist, Christian, Muslim). Commonwealth Day is an annual celebration of the Commonwealth of Nations, an association of 54 member states which were former territories of the British Empire. This day is observed annually on the second Monday in the month of March.",21.5 cm x 15 cm,16 pages,,booklets,,Collection C319|~|Box A-B|~|Folder 3,Royal Commonwealth Society - Barbados Branch,,,Barbados,Royal Commonwealth Society - Barbados Branch,Barbados Department of Archives,,public domain,Barbados Department of Archives,,Commonwealth countries|~|Anniversaries,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10s1gcx/manifest
ark:/21198/z10s1gdc,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Festival of African and Caribbean Film,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v42r0w,Ephemera Collection,,"October 17, 2002-October 20, 2002",2002-10-17/2002-10-20,13.1939,59.5432,"Poster for a festival of African and Caribbean film held between October 17-20, 2002. The event was organized by the Department of Humanities, University of the West Indies, Cave Hill Campus.",39.5 cm x 72 cm,1 page,,Posters,,Collection C319|~|Box D-F|~|Folder 5,"University of the West Indies (Cave Hill, Barbados)",,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Festivals|~|Film festivals|~|Arts and culture--Culture,Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10s1gdc/manifest
ark:/21198/z10s1gft,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Queen Elizabeth Hospital - Tenth Anniversary Celebrations,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k45vj,Ephemera Collection,,November 1964,1964-11,13.1939,59.5432,"Brochure with the program of activities for the 10th anniversary celebrations of Queen Elizabeth Hospital that took place from November 10-16, 1974.",21.6 cm x 16.5 cm,4 pages,,Brochures|~|Event programs,,Collection C319|~|Box KQ|~|Folder 19,Government of Barbados,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Anniversaries|~|Celebrations|~|Hospitals,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10s1gft/manifest
