"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Language","Rights.permission","Name.creator","Subject","Name.subject","Editor","Subject.conceptTopic","Subject geographic","Title","Date.creation","Format.extent","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"East Asian Library","ark:/21198/z19c8j1k","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_025.tif","25","","","","","","","","","","","","","","Page 25","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c8j1k",""
"East Asian Library","ark:/21198/z15m7scr","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_026.tif","26","","","","","","","","","","","","","","Page 26","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m7scr",""
"East Asian Library","ark:/21198/z11v71pv","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_027.tif","27","","","","","","","","","","","","","","Page 27","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v71pv",""
"East Asian Library","ark:/21198/z1x36j5f","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_028.tif","28","","","","","","","","","","","","","","Page 28","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36j5f",""
"East Asian Library","ark:/21198/z1sb5sct","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_029.tif","29","","","","","","","","","","","","","","Page 29","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb5sct",""
"East Asian Library","ark:/21198/z1nk51ng","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_030.tif","30","","","","","","","","","","","","","","Page 30","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk51ng",""
"East Asian Library","ark:/21198/z1ht4902","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_031.tif","31","","","","","","","","","","","","","","Page 31","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht4902",""
"East Asian Library","ark:/21198/z1d527km","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_032.tif","32","","","","","","","","","","","","","","Page 32","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d527km",""
"East Asian Library","ark:/21198/z18d1gxs","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_033.tif","33","","","","","","","","","","","","","","Page 33","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d1gxs",""
"East Asian Library","ark:/21198/z14n0r8c","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_034.tif","34","","","","","","","","","","","","","","Page 34","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n0r8c",""
"East Asian Library","ark:/21198/z10w00g4","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_035.tif","35","","","","","","","","","","","","","","Page 35","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w00g4",""
"East Asian Library","ark:/21198/z1w39gzr","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_036.tif","36","","","","","","","","","","","","","","Page 36","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w39gzr",""
"East Asian Library","ark:/21198/z1rb8r60","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_037.tif","37","","","","","","","","","","","","","","Page 37","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb8r60",""
"East Asian Library","ark:/21198/z1mk80jj","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_038.tif","38","","","","","","","","","","","","","","Page 38","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk80jj",""
"East Asian Library","ark:/21198/z1gx5z6q","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_039.tif","39","","","","","","","","","","","","","","Page 39","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx5z6q",""
"East Asian Library","ark:/21198/z1c556jk","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_040.tif","40","","","","","","","","","","","","","","Page 40","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c556jk",""
"East Asian Library","ark:/21198/z17d4fwr","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_041.tif","41","","","","","","","","","","","","","","Page 41","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d4fwr",""
"East Asian Library","ark:/21198/z13n3q3j","ark:/21198/zz002hzcdc","","","Page","east_asian_library/image/21198-zz002hzcdc-1-master_042.tif","42","","","","","","","","","","","","","","Page 42","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n3q3j",""
