File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390205_058.tif,Page,Page 58,58,ark:/21198/z1b29z5x,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390205_059.tif,Page,Page 59,59,ark:/21198/z1b29z5x,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390205_060.tif,Page,Page 60,60,ark:/21198/z1b29z5x,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390205_061.tif,Page,Page 61,61,ark:/21198/z1b29z5x,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390205_062.tif,Page,Page 62,62,ark:/21198/z1b29z5x,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390205_063.tif,Page,Page 63,63,ark:/21198/z1b29z5x,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390205_064.tif,Page,Page 64,64,ark:/21198/z1b29z5x,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390205_065.tif,Page,Page 65,65,ark:/21198/z1b29z5x,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390205_066.tif,Page,Page 66,66,ark:/21198/z1b29z5x,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390205_067.tif,Page,Page 67,67,ark:/21198/z1b29z5x,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390205_068.tif,Page,Page 68,68,ark:/21198/z1b29z5x,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390205_069.tif,Page,Page 69,69,ark:/21198/z1b29z5x,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390205_070.tif,Page,Page 70,70,ark:/21198/z1b29z5x,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390205_071.tif,Page,Page 71,71,ark:/21198/z1b29z5x,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390205_072.tif,Page,Page 72,72,ark:/21198/z1b29z5x,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390212_001.tif,Page,Page 1,1,ark:/21198/z16996cp,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390212_002.tif,Page,Page 2,2,ark:/21198/z16996cp,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390212_003.tif,Page,Page 3,3,ark:/21198/z16996cp,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390212_004.tif,Page,Page 4,4,ark:/21198/z16996cp,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390212_005.tif,Page,Page 5,5,ark:/21198/z16996cp,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390212_006.tif,Page,Page 6,6,ark:/21198/z16996cp,
masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1939/ihc_bohemia_19390212_007.tif,Page,Page 7,7,ark:/21198/z16996cp,
