Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,viewingHint,Type.typeOfResource,Rights.copyrightStatus,Name.sponsor,Name.subject,Name.publisher,Rights.servicesContact,Subject.conceptTopic,Type.genre,Language,Name.repository,Name.designer,Subject.uniformTitle,Name.photographer,Name.creator,Subject.geographicPlace,Coverage.geographic,Description.note,Date.normalized,Publisher.placeOfOrigin,Title,Date.creation,Alt ID.local,Format.extent,Description.caption,AltTitle.parallel,AltTitle.other,Publisher.publisherName,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL
Ethiopian Posters,ark:/21198/zz002hh0zh/ms731705,ark:/21198/zz002hh0zh,,,Page,ethiopian_posters/image/ucla_1922_box01_folder018_013a.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0zh%2Fms731705
Ethiopian Posters,ark:/21198/zz002hh0zh/pp653n34,ark:/21198/zz002hh0zh,,,Page,ethiopian_posters/image/ucla_1922_box01_folder018_013.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh0zh%2Fpp653n34
Ethiopian Posters,ark:/21198/zz002hh5mr/0124ms54,ark:/21198/zz002hh5mr,,,Page,ethiopian_posters/image/ucla_1922_box02_folder013_004a.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh5mr%2F0124ms54
Ethiopian Posters,ark:/21198/zz002hh5mr/6x67fv39,ark:/21198/zz002hh5mr,,,Page,ethiopian_posters/image/ucla_1922_box02_folder013_004.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hh5mr%2F6x67fv39
Ethiopian Posters,ark:/21198/zz002hhnq2/nn08n598,ark:/21198/zz002hhnq2,,,Page,ethiopian_posters/image/ucla_1922_box04_folder012_008.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhnq2%2Fnn08n598
Ethiopian Posters,ark:/21198/zz002hhnq2/w035hr4b,ark:/21198/zz002hhnq2,,,Page,ethiopian_posters/image/ucla_1922_box04_folder012_008a.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhnq2%2Fw035hr4b
Ethiopian Posters,ark:/21198/zz002hhns3/1p11rs4b,ark:/21198/zz002hhns3,,,Page,ethiopian_posters/image/ucla_1922_box04_folder012_009a.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhns3%2F1p11rs4b
Ethiopian Posters,ark:/21198/zz002hhns3/2f66f25n,ark:/21198/zz002hhns3,,,Page,ethiopian_posters/image/ucla_1922_box04_folder012_009.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhns3%2F2f66f25n
Ethiopian Posters,ark:/21198/zz002hhnv4/9k33c73m,ark:/21198/zz002hhnv4,,,Page,ethiopian_posters/image/ucla_1922_box04_folder012_010.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhnv4%2F9k33c73m
Ethiopian Posters,ark:/21198/zz002hhnv4/qs69dk09,ark:/21198/zz002hhnv4,,,Page,ethiopian_posters/image/ucla_1922_box04_folder012_010a.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhnv4%2Fqs69dk09
Ethiopian Posters,ark:/21198/zz002hhp0p/3d573x09,ark:/21198/zz002hhp0p,,,Page,ethiopian_posters/image/ucla_1922_box04_folder013_001a.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhp0p%2F3d573x09
Ethiopian Posters,ark:/21198/zz002hhp0p/qb666s2f,ark:/21198/zz002hhp0p,,,Page,ethiopian_posters/image/ucla_1922_box04_folder013_001.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhp0p%2Fqb666s2f
Ethiopian Posters,ark:/21198/zz002hhp2q/6831mg8c,ark:/21198/zz002hhp2q,,,Page,ethiopian_posters/image/ucla_1922_box04_folder013_002.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhp2q%2F6831mg8c
Ethiopian Posters,ark:/21198/zz002hhp2q/7j49tk7b,ark:/21198/zz002hhp2q,,,Page,ethiopian_posters/image/ucla_1922_box04_folder013_002a.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhp2q%2F7j49tk7b
Ethiopian Posters,ark:/21198/zz002hhp4r/m6231j2h,ark:/21198/zz002hhp4r,,,Page,ethiopian_posters/image/ucla_1922_box04_folder013_003a.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhp4r%2Fm6231j2h
Ethiopian Posters,ark:/21198/zz002hhp4r/tt73x38n,ark:/21198/zz002hhp4r,,,Page,ethiopian_posters/image/ucla_1922_box04_folder013_003.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhp4r%2Ftt73x38n
