Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,viewingHint,Visibility,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Name.other,Name.creator,Language,Subject.conceptTopic,Rights.permission,Subject.geographicPlace,Name.author,Name.cartographer,Name.repository,Name.subject,Title,Date.publication,Coverage.geographiccoordinates,Publisher.publisherName,Description.note,Publisher.placeOfOrigin,Format.extent,Coverage.geographic,Alt ID.oclc,Alt ID.callNo,Alt ID.catalogRecordNumber,Alt ID.OPAC,Coverage.geoscale,AltTitle,Alt ID.local,Publisher.edition,Date.creation,Date.normalized,Alt ID.lccn,Description.abstract,Bucketeer State,IIIF Access URL
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0mwc/zt372b4q,ark:/21198/zz002b0mwc,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0mwc_1977874_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0mwc%2Fzt372b4q
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0mxw/4w002q1q,ark:/21198/zz002b0mxw,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0mxw_1978562_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0mxw%2F4w002q1q
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0mxw/fv41m253,ark:/21198/zz002b0mxw,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0mxw_1978571_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0mxw%2Ffv41m253
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0mzd/kx43nd30,ark:/21198/zz002b0mzd,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0mzd_1978619_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0mzd%2Fkx43nd30
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b0mzd/np32f367,ark:/21198/zz002b0mzd,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b0mzd_1978601_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b0mzd%2Fnp32f367
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b10vm/2p38jc5h,ark:/21198/zz002b10vm,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b10vm_1978880_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b10vm%2F2p38jc5h
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b10vm/9n22cc6v,ark:/21198/zz002b10vm,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b10vm_1978883_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b10vm%2F9n22cc6v
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b122p/24191r41,ark:/21198/zz002b122p,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b122p_1978937_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b122p%2F24191r41
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b122p/7820gp31,ark:/21198/zz002b122p,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b122p_1978917_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b122p%2F7820gp31
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b124q/1w56zx3q,ark:/21198/zz002b124q,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b124q_1978986_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b124q%2F1w56zx3q
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b124q/kx47r88k,ark:/21198/zz002b124q,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b124q_1978992_master.tif,3,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b124q%2Fkx47r88k
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002b124q/vw21rg59,ark:/21198/zz002b124q,,,Page,Masters/Maps/Bruman-Maps/image/21198-zz002b124q_1978976_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b124q%2Fvw21rg59
