"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Subject","Name.repository","Name.creator","Title","Relation.rectoVerso","Date.creation","Relation.isPartOf","Alt ID.local","AltTitle.uniform","Description.note","Format.dimensions","Relation.textDirection","Description.abstract","Coverage.geographic","Relation.leafNumber","Date.normalized","Publisher.placeOfOrigin","Format.medium","Publisher.publisherName","Format.extent","Relation.pageNumber","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzr4p","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzr4p-1-master.tif","25","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 25","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzr4p",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzr56","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzr56-1-master.tif","26","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 26","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzr56",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzr6q","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzr6q-1-master.tif","27","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 27","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzr6q",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzr77","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzr77-1-master.tif","28","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 28","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzr77",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzr8r","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzr8r-1-master.tif","29","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 29","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzr8r",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzr98","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzr98-1-master.tif","30","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 30","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzr98",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzrbs","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzrbs-1-master.tif","31","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 31","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzrbs",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzrc9","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzrc9-1-master.tif","32","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 32","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzrc9",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzrdt","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzrdt-1-master.tif","33","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 33","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzrdt",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzrfb","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzrfb-1-master.tif","34","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 34","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzrfb",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzrgv","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzrgv-1-master.tif","35","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 35","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzrgv",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzrhc","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzrhc-1-master.tif","36","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 36","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzrhc",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzrjw","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzrjw-1-master.tif","37","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 37","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzrjw",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzrkd","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzrkd-1-master.tif","38","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 38","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzrkd",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzrmx","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzrmx-1-master.tif","39","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 39","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzrmx",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzrnf","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzrnf-1-master.tif","40","","","","","","","","","","pd","","","","","Coll. 170 Ms. 677 Page 40","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzrnf",""
