==> 21198zz0009gxbj_pages.csv <==
==> 21198zz000rw9rt_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000rw9sb,ark:/21198/zz000rw9rt,2,Completed,Page,medren/masters/21198-zz000rw9sb-1-master.tif,1,,,,,,,,,,pd,,,,,1,r,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rw9sb,

==> 21198zz000rxb3x_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000rxb4f,ark:/21198/zz000rxb3x,2,Completed,Page,medren/masters/21198-zz000rxb4f-1-master.tif,1,,,,,,,,,,pd,,,,,Coll. 170. Ms. 593. Page 1,r,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rxb4f,

==> 21198zz000rz8xt_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000rz8zb,ark:/21198/zz000rz8xt,2,Completed,Page,medren/masters/21198-zz000rz8zb-1-master.tif,1,,,,,,,,,,pd,,,,,Coll. 170. Ms. 674. Page 1,r,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rz8zb,

==> 21198zz000rzcf1_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000rzcgj,ark:/21198/zz000rzcf1,2,Completed,Page,medren/masters/21198-zz000rzcgj-1-master.tif,1,,,,,,,,,,pd,,,,,Coll. 170. Ms. 675. Page 1,r,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzcgj,

==> 21198zz000rzpxm_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000rzpz4,ark:/21198/zz000rzpxm,2,Completed,Page,medren/masters/21198-zz000rzpz4-1-master.tif,1,,,,,,,,,,pd,,,,,Coll. 170. Ms. 677. Page 1,r,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzpz4,

==> 21198zz000s0t51_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000s0t6j,ark:/21198/zz000s0t51,2,Completed,Page,medren/masters/21198-zz000s0t6j-1-master.tif,1,,,,,,,,,,pd,,,,,1,r,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0t6j,

==> 21198zz000s39xh_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000s39z1,ark:/21198/zz000s39xh,2,Completed,Page,medren/masters/21198-zz000s39z1-1-master.tif,1,,,,,,,,,,pd,,,,,1,r,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s39z1,

==> 21198zz000s3rkm_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000s3rm4,ark:/21198/zz000s3rkm,2,Completed,Page,medren/masters/21198-zz000s3rm4-1-master.tif,1,,,,,,,,,,pd,,,,,1,r,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3rm4,

==> 21198zz000s75h5_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000s75jp,ark:/21198/zz000s75h5,2,Completed,Page,medren/masters/21198-zz000s75jp-1-master.tif,1,,,,,,,,,,pd,,,,,1,r,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s75jp,

==> 21198zz000s8dmj_pages.csv <==
