"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Visibility","Delete in Title","Thumbnail","Rights.copyrightStatus","Name.repository","Title","Alt ID.local","Alt ID.collection","Description.abstract","Bucketeer State","IIIF Access URL"
"Tom Leung Collection","ark:/21198/zz002317fw/55561w35","ark:/21198/zz002317fw","","","Page","leung/21198-zz002317fw_1557406_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002317fw%2F55561w35"
"Tom Leung Collection","ark:/21198/zz002317fw/cn03957c","ark:/21198/zz002317fw","","","Page","leung/21198-zz002317fw_1557412_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002317fw%2Fcn03957c"
"Tom Leung Collection","ark:/21198/zz002317fw/pb853s8t","ark:/21198/zz002317fw","","","Page","leung/21198-zz002317fw_1557400_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002317fw%2Fpb853s8t"
"Tom Leung Collection","ark:/21198/zz002317fw/r523jh4d","ark:/21198/zz002317fw","","","Page","leung/21198-zz002317fw_1557415_master.tif","4","","","","","","","","Page 4","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002317fw%2Fr523jh4d"
"Tom Leung Collection","ark:/21198/zz002317hx/fk136s0z","ark:/21198/zz002317hx","","","Page","leung/21198-zz002317hx_1557424_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002317hx%2Ffk136s0z"
"Tom Leung Collection","ark:/21198/zz002317hx/zp737t3x","ark:/21198/zz002317hx","","","Page","leung/21198-zz002317hx_1557421_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002317hx%2Fzp737t3x"
"Tom Leung Collection","ark:/21198/zz002318jx/8158rp7p","ark:/21198/zz002318jx","","","Page","leung/21198-zz002318jx_1557451_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002318jx%2F8158rp7p"
"Tom Leung Collection","ark:/21198/zz002318jx/c169936v","ark:/21198/zz002318jx","","","Page","leung/21198-zz002318jx_1557458_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002318jx%2Fc169936v"
"Tom Leung Collection","ark:/21198/zz002318jx/dt806b0m","ark:/21198/zz002318jx","","","Page","leung/21198-zz002318jx_1557455_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002318jx%2Fdt806b0m"
"Tom Leung Collection","ark:/21198/zz002318p0/mn46b60x","ark:/21198/zz002318p0","","","Page","leung/21198-zz002318p0_1557502_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002318p0%2Fmn46b60x"
"Tom Leung Collection","ark:/21198/zz002318p0/sw45cb97","ark:/21198/zz002318p0","","","Page","leung/21198-zz002318p0_1557499_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002318p0%2Fsw45cb97"
"Tom Leung Collection","ark:/21198/zz002318qh/qn69q56k","ark:/21198/zz002318qh","","","Page","leung/21198-zz002318qh_1557508_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002318qh%2Fqn69q56k"
"Tom Leung Collection","ark:/21198/zz002318qh/zb58vb6r","ark:/21198/zz002318qh","","","Page","leung/21198-zz002318qh_1557505_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002318qh%2Fzb58vb6r"
"Tom Leung Collection","ark:/21198/zz002318r1/fh59fx54","ark:/21198/zz002318r1","","","Page","leung/21198-zz002318r1_1557541_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002318r1%2Ffh59fx54"
"Tom Leung Collection","ark:/21198/zz002318r1/fk04fg6k","ark:/21198/zz002318r1","","","Page","leung/21198-zz002318r1_1557550_master.tif","5","","","","","","","","Page 5","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002318r1%2Ffk04fg6k"
"Tom Leung Collection","ark:/21198/zz002318r1/h942t22w","ark:/21198/zz002318r1","","","Page","leung/21198-zz002318r1_1557547_master.tif","4","","","","","","","","Page 4","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002318r1%2Fh942t22w"
"Tom Leung Collection","ark:/21198/zz002318r1/jz842b69","ark:/21198/zz002318r1","","","Page","leung/21198-zz002318r1_1557535_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002318r1%2Fjz842b69"
"Tom Leung Collection","ark:/21198/zz002318r1/sg379x5c","ark:/21198/zz002318r1","","","Page","leung/21198-zz002318r1_1557532_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002318r1%2Fsg379x5c"
"Tom Leung Collection","ark:/21198/zz002318r1/t599s86q","ark:/21198/zz002318r1","","","Page","leung/21198-zz002318r1_1557553_master.tif","6","","","","","","","","Page 6","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002318r1%2Ft599s86q"
"Tom Leung Collection","ark:/21198/zz002318vk/1g56w52s","ark:/21198/zz002318vk","","","Page","leung/21198-zz002318vk_1557661_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002318vk%2F1g56w52s"
"Tom Leung Collection","ark:/21198/zz002318vk/2d24mq64","ark:/21198/zz002318vk","","","Page","leung/21198-zz002318vk_1557664_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002318vk%2F2d24mq64"
"Tom Leung Collection","ark:/21198/zz00231925/5v518c17","ark:/21198/zz00231925","","","Page","leung/21198-zz00231925_1557715_master.tif","4","","","","","","","","Page 4","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231925%2F5v518c17"
"Tom Leung Collection","ark:/21198/zz00231925/9t82p897","ark:/21198/zz00231925","","","Page","leung/21198-zz00231925_1557706_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231925%2F9t82p897"
"Tom Leung Collection","ark:/21198/zz00231925/q202c83h","ark:/21198/zz00231925","","","Page","leung/21198-zz00231925_1557720_master.tif","5","","","","","","","","Page 5","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231925%2Fq202c83h"
"Tom Leung Collection","ark:/21198/zz00231925/qm519g8x","ark:/21198/zz00231925","","","Page","leung/21198-zz00231925_1557695_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231925%2Fqm519g8x"
"Tom Leung Collection","ark:/21198/zz00231925/qz74xz3d","ark:/21198/zz00231925","","","Page","leung/21198-zz00231925_1557700_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231925%2Fqz74xz3d"
"Tom Leung Collection","ark:/21198/zz0023193p/1m988f9b","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557810_master.tif","12","","","","","","","","Page 12","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2F1m988f9b"
"Tom Leung Collection","ark:/21198/zz0023193p/2g915b11","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557781_master.tif","9","","","","","","","","Page 9","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2F2g915b11"
"Tom Leung Collection","ark:/21198/zz0023193p/6450mm00","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557737_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2F6450mm00"
"Tom Leung Collection","ark:/21198/zz0023193p/7504662g","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557757_master.tif","5","","","","","","","","Page 5","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2F7504662g"
"Tom Leung Collection","ark:/21198/zz0023193p/9s42cs3s","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557803_master.tif","11","","","","","","","","Page 11","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2F9s42cs3s"
"Tom Leung Collection","ark:/21198/zz0023193p/bm46b63s","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557760_master.tif","6","","","","","","","","Page 6","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2Fbm46b63s"
"Tom Leung Collection","ark:/21198/zz0023193p/db86686r","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557766_master.tif","7","","","","","","","","Page 7","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2Fdb86686r"
"Tom Leung Collection","ark:/21198/zz0023193p/fz160b6s","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557786_master.tif","10","","","","","","","","Page 10","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2Ffz160b6s"
"Tom Leung Collection","ark:/21198/zz0023193p/kn296k3d","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557751_master.tif","4","","","","","","","","Page 4","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2Fkn296k3d"
"Tom Leung Collection","ark:/21198/zz0023193p/pr99t83k","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557776_master.tif","8","","","","","","","","Page 8","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2Fpr99t83k"
"Tom Leung Collection","ark:/21198/zz0023193p/ps734b59","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557746_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2Fps734b59"
"Tom Leung Collection","ark:/21198/zz0023193p/zg084p66","ark:/21198/zz0023193p","","","Page","leung/21198-zz0023193p_1557740_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2Fzg084p66"
"Tom Leung Collection","ark:/21198/zz00231967/4d79949d","ark:/21198/zz00231967","","","Page","leung/21198-zz00231967_1557829_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231967%2F4d79949d"
"Tom Leung Collection","ark:/21198/zz00231967/g865tf41","ark:/21198/zz00231967","","","Page","leung/21198-zz00231967_1557835_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231967%2Fg865tf41"
"Tom Leung Collection","ark:/21198/zz00231967/w332mf6v","ark:/21198/zz00231967","","","Page","leung/21198-zz00231967_1557841_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231967%2Fw332mf6v"
"Tom Leung Collection","ark:/21198/zz002319jd/5k65038b","ark:/21198/zz002319jd","","","Page","leung/21198-zz002319jd_1557934_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002319jd%2F5k65038b"
"Tom Leung Collection","ark:/21198/zz002319jd/cz263m3k","ark:/21198/zz002319jd","","","Page","leung/21198-zz002319jd_1557930_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002319jd%2Fcz263m3k"
"Tom Leung Collection","ark:/21198/zz002319jd/wr29ff58","ark:/21198/zz002319jd","","","Page","leung/21198-zz002319jd_1557940_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002319jd%2Fwr29ff58"
"Tom Leung Collection","ark:/21198/zz002319tj/1612rk94","ark:/21198/zz002319tj","","","Page","leung/21198-zz002319tj_1557987_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002319tj%2F1612rk94"
"Tom Leung Collection","ark:/21198/zz002319tj/cg47bf6r","ark:/21198/zz002319tj","","","Page","leung/21198-zz002319tj_1557976_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002319tj%2Fcg47bf6r"
"Tom Leung Collection","ark:/21198/zz002319tj/x142452x","ark:/21198/zz002319tj","","","Page","leung/21198-zz002319tj_1557972_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002319tj%2Fx142452x"
"Tom Leung Collection","ark:/21198/zz002319wk/p1994n89","ark:/21198/zz002319wk","","","Page","leung/21198-zz002319wk_1558014_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002319wk%2Fp1994n89"
"Tom Leung Collection","ark:/21198/zz002319wk/z240b46b","ark:/21198/zz002319wk","","","Page","leung/21198-zz002319wk_1558023_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002319wk%2Fz240b46b"
"Tom Leung Collection","ark:/21198/zz00231b2n/hp31355x","ark:/21198/zz00231b2n","","","Page","leung/21198-zz00231b2n_1558069_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231b2n%2Fhp31355x"
"Tom Leung Collection","ark:/21198/zz00231b2n/xn48f21f","ark:/21198/zz00231b2n","","","Page","leung/21198-zz00231b2n_1558060_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231b2n%2Fxn48f21f"
"Tom Leung Collection","ark:/21198/zz00231b35/b2335t9k","ark:/21198/zz00231b35","","","Page","leung/21198-zz00231b35_1558104_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231b35%2Fb2335t9k"
"Tom Leung Collection","ark:/21198/zz00231b35/q1264n3q","ark:/21198/zz00231b35","","","Page","leung/21198-zz00231b35_1558107_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231b35%2Fq1264n3q"
"Tom Leung Collection","ark:/21198/zz00231b77/9x893r97","ark:/21198/zz00231b77","","","Page","leung/21198-zz00231b77_1558098_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231b77%2F9x893r97"
"Tom Leung Collection","ark:/21198/zz00231b77/dn700p3x","ark:/21198/zz00231b77","","","Page","leung/21198-zz00231b77_1558090_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231b77%2Fdn700p3x"
"Tom Leung Collection","ark:/21198/zz00231b77/hh59g308","ark:/21198/zz00231b77","","","Page","leung/21198-zz00231b77_1558095_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231b77%2Fhh59g308"
"Tom Leung Collection","ark:/21198/zz00231bc9/8392xb64","ark:/21198/zz00231bc9","","","Page","leung/21198-zz00231bc9_1558122_master.tif","3","","","","","","","","Page 3","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231bc9%2F8392xb64"
"Tom Leung Collection","ark:/21198/zz00231bc9/k560zc23","ark:/21198/zz00231bc9","","","Page","leung/21198-zz00231bc9_1558119_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231bc9%2Fk560zc23"
"Tom Leung Collection","ark:/21198/zz00231bc9/xw40gw98","ark:/21198/zz00231bc9","","","Page","leung/21198-zz00231bc9_1558116_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231bc9%2Fxw40gw98"
"Tom Leung Collection","ark:/21198/zz00231c24/0178vk88","ark:/21198/zz00231c24","","","Page","leung/21198-zz00231c24_1558143_master.tif","1","","","","","","","","Page 1","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231c24%2F0178vk88"
"Tom Leung Collection","ark:/21198/zz00231c24/hr58gh11","ark:/21198/zz00231c24","","","Page","leung/21198-zz00231c24_1558146_master.tif","2","","","","","","","","Page 2","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231c24%2Fhr58gh11"
