"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Visibility","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Name.correspondent","Name.creator","Title","Alt ID.local","Relation.isPartOf","AltTitle.creator","AltTitle.descriptive","Date.creation","Alt ID.collection","Description.note","Publisher.placeOfOrigin","Coverage.geographic","Date.normalized","AltTitle.other","Format.medium","IIIF Manifest URL"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gdwfj","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","30","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 14","Box_2_Folder_14","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gdwfj/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gdwj3","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","31","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 15","Box_2_Folder_15","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gdwj3/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gdx3v","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","32","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 16","Box_2_Folder_16","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gdx3v/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gf07b","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","33","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 17","Box_2_Folder_17","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gf07b/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gf2kg","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","34","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2 Folder 18","Box_2_Folder_18","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gf2kg/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gf4sj","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","35","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 19","Box_2_Folder_19","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gf4sj/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gf677","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","36","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 20","Box_2_Folder_20","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gf677/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gf71m","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","37","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 21","Box_2_Folder_21","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gf71m/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gfczh","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","38","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 2, Folder 22","Box_2_Folder_22","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gfczh/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gfdh8","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","39","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 3, Folder 1","Box_3_Folder_1","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gfdh8/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gfdpv","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","40","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 3, Folder 2","Box_3_Folder_2","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gfdpv/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gfg10","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","41","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 3, Folder 3","Box_3_Folder_3","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gfg10/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gfh3h","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","42","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 3, Folder 4","Box_3_Folder_4","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gfh3h/manifest"
