"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Visibility","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Name.correspondent","Name.creator","Title","Alt ID.local","Relation.isPartOf","AltTitle.creator","AltTitle.descriptive","Date.creation","Alt ID.collection","Description.note","Publisher.placeOfOrigin","Coverage.geographic","Date.normalized","AltTitle.other","Format.medium","IIIF Manifest URL"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmnnz","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","142","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 24","Box_7_Folder_24","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmnnz/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmpdt","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","143","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 25","Box_7_Folder_25","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmpdt/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmqx2","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","144","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 26","Box_7_Folder_26","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmqx2/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmsnw","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","145","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 27","Box_7_Folder_27","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmsnw/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmsx1","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","146","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 28","Box_7_Folder_28","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmsx1/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmt4m","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","147","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 29","Box_7_Folder_29","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmt4m/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmtgs","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","148","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 30","Box_7_Folder_30","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmtgs/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmv64","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","149","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 31","Box_7_Folder_31","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmv64/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmvfr","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","150","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 32","Box_7_Folder_32","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmvfr/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmvpc","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","151","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 33","Box_7_Folder_33","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmvpc/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmw11","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","152","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 34","Box_7_Folder_34","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmw11/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmw74","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","153","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 35","Box_7_Folder_35","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmw74/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmwgr","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","154","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 36","Box_7_Folder_36","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmwgr/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmwnb","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","155","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 37","Box_7_Folder_37","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmwnb/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmx5k","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","156","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 38","Box_7_Folder_38","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmx5k/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmzjr","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","157","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 39","Box_7_Folder_39","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmzjr/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gmzrv","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","158","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 40","Box_7_Folder_40","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gmzrv/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gn071","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","159","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 41","Box_7_Folder_41","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gn071/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gn0tt","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","160","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 42","Box_7_Folder_42","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gn0tt/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gn2k5","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","161","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 43","Box_7_Folder_43","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gn2k5/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gn31c","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","162","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 7, Folder 44","Box_7_Folder_44","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gn31c/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gn47z","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","163","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 1","Box_8_Folder_1","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gn47z/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gn4v8","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","164","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 2","Box_8_Folder_2","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gn4v8/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gn52v","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","165","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 3","Box_8_Folder_3","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gn52v/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gn59g","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","166","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 4","Box_8_Folder_4","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gn59g/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gn5nn","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","167","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 5","Box_8_Folder_5","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gn5nn/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gn5t7","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","168","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 6","Box_8_Folder_6","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gn5t7/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gn63v","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","169","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 7","Box_8_Folder_7","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gn63v/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gn7nm","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","170","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 8","Box_8_Folder_8","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gn7nm/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gn7t6","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","171","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 9","Box_8_Folder_9","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gn7t6/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gn81s","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","172","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 10","Box_8_Folder_10","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gn81s/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gn87w","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","173","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 11","Box_8_Folder_11","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gn87w/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gn8gh","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","174","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 12","Box_8_Folder_12","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gn8gh/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gn97c","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","175","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 13","Box_8_Folder_13","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gn97c/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gn9hh","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","176","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 14","Box_8_Folder_14","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gn9hh/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gnbv5","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","177","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 15","Box_8_Folder_15","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gnbv5/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gnc8v","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","178","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 16","Box_8_Folder_16","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gnc8v/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gndx5","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","179","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 17","Box_8_Folder_17","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gndx5/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gnf58","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","180","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 18","Box_8_Folder_18","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gnf58/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gng26","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","181","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 19","Box_8_Folder_19","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gng26/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gnjtj","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","182","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 20","Box_8_Folder_20","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gnjtj/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gnk14","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","183","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 21","Box_8_Folder_21","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gnk14/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gnmft","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","184","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 22","Box_8_Folder_22","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gnmft/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gns53","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","185","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 23","Box_8_Folder_23","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gns53/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gnsf7","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","186","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 24","Box_8_Folder_24","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gnsf7/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gnv31","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","187","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 25","Box_8_Folder_25","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gnv31/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gnvc5","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","188","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 26","Box_8_Folder_26","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gnvc5/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gnvvd","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","189","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 27","Box_8_Folder_27","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gnvvd/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gnwcn","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","190","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 28","Box_8_Folder_28","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gnwcn/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gnwqt","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","191","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 29","Box_8_Folder_29","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gnwqt/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gnzst","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","192","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 30","Box_8_Folder_30","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gnzst/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gp00v","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","193","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 31","Box_8_Folder_31","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gp00v/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gp06z","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","194","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 32","Box_8_Folder_32","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gp06z/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gp0cj","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","195","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 33","Box_8_Folder_33","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gp0cj/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gp1k4","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","196","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 34","Box_8_Folder_34","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gp1k4/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gp2d1","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","197","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 35","Box_8_Folder_35","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gp2d1/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gp5dg","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","198","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 37","Box_8_Folder_37","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gp5dg/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gp5tp","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","199","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 38","Box_8_Folder_38","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gp5tp/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gp618","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","200","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 39","Box_8_Folder_39","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gp618/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gp6nk","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","201","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 40","Box_8_Folder_40","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gp6nk/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gp6vp","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","202","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 41","Box_8_Folder_41","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gp6vp/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gp728","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","203","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 42","Box_8_Folder_42","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gp728/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gp7df","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","204","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 43","Box_8_Folder_43","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gp7df/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gp7jh","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","205","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 44","Box_8_Folder_44","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gp7jh/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gp7s4","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","206","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 45","Box_8_Folder_45","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gp7s4/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gp80q","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","207","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 8, Folder 46","Box_8_Folder_46","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gp80q/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gpbkg","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","208","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 1","Box_9_Folder_1","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gpbkg/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gpbsk","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","209","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 2","Box_9_Folder_2","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gpbsk/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gpdvk","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","210","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 3","Box_9_Folder_3","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gpdvk/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gphrg","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","211","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 4","Box_9_Folder_4","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gphrg/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gppf7","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","212","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 5","Box_9_Folder_5","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gppf7/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gppmt","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","213","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 6","Box_9_Folder_6","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gppmt/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gpptx","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","214","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 7","Box_9_Folder_7","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gpptx/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gpqd6","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","215","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 8","Box_9_Folder_8","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gpqd6/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gpqrc","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","216","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 9","Box_9_Folder_9","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gpqrc/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gprbn","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","217","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 10","Box_9_Folder_10","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gprbn/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gprwx","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","218","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 11","Box_9_Folder_11","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gprwx/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gps3h","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","219","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 12","Box_9_Folder_12","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gps3h/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gpshq","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","220","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 13","Box_9_Folder_13","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gpshq/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gptxd","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","221","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 14","Box_9_Folder_14","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gptxd/manifest"
