Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Rights.copyrightStatus,Rights.countryCreation,Language,Rights.permission,Rights.rightsHolderContact,Title,AltTitle.other,Date.creation,AltTitle.descriptive,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Grolinger (Herbert) Collection,ark:/21198/z19k60d6,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_011.tif,11,,,,,,,,,Page 11,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k60d6,
Grolinger (Herbert) Collection,ark:/21198/z15t57pg,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_012.tif,12,,,,,,,,,Page 12,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t57pg,
Grolinger (Herbert) Collection,ark:/21198/z1224gw5,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_013.tif,13,,,,,,,,,Page 13,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1224gw5,
Grolinger (Herbert) Collection,ark:/21198/z1x940d8,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_014.tif,14,,,,,,,,,Page 14,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x940d8,
Grolinger (Herbert) Collection,ark:/21198/z1sn1z3w,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_015.tif,15,,,,,,,,,Page 15,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn1z3w,
Grolinger (Herbert) Collection,ark:/21198/z1nw16d0,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_016.tif,16,,,,,,,,,Page 16,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw16d0,
Grolinger (Herbert) Collection,ark:/21198/z1j40fq1,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_017.tif,17,,,,,,,,,Page 17,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j40fq1,
Grolinger (Herbert) Collection,ark:/21198/z1db9q22,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_018.tif,18,,,,,,,,,Page 18,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db9q22,
Grolinger (Herbert) Collection,ark:/21198/z18k8z8f,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_019.tif,19,,,,,,,,,Page 19,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k8z8f,
Grolinger (Herbert) Collection,ark:/21198/z14t86hn,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_020.tif,20,,,,,,,,,Page 20,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t86hn,
Grolinger (Herbert) Collection,ark:/21198/z1127fs7,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_021.tif,21,,,,,,,,,Page 21,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1127fs7,
Grolinger (Herbert) Collection,ark:/21198/z1wd5npt,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_022.tif,22,,,,,,,,,Page 22,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd5npt,
Grolinger (Herbert) Collection,ark:/21198/z1rn4x0z,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_023.tif,23,,,,,,,,,Page 23,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn4x0z,
Grolinger (Herbert) Collection,ark:/21198/z1mw4592,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_024.tif,24,,,,,,,,,Page 24,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw4592,
Grolinger (Herbert) Collection,ark:/21198/z1h43dnj,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_025.tif,25,,,,,,,,,Page 25,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h43dnj,
Grolinger (Herbert) Collection,ark:/21198/z1cc2nwc,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_026.tif,26,,,,,,,,,Page 26,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc2nwc,
Grolinger (Herbert) Collection,ark:/21198/z17m1x2q,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_027.tif,27,,,,,,,,,Page 27,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m1x2q,
Grolinger (Herbert) Collection,ark:/21198/z13v15bc,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_028.tif,28,,,,,,,,,Page 28,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v15bc,
Grolinger (Herbert) Collection,ark:/21198/z105942k,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_029.tif,29,,,,,,,,,Page 29,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz105942k,
Grolinger (Herbert) Collection,ark:/21198/z1vd8mkw,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_030.tif,30,,,,,,,,,Page 30,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd8mkw,
Grolinger (Herbert) Collection,ark:/21198/z1qn7vx2,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_031.tif,31,,,,,,,,,Page 31,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn7vx2,
Grolinger (Herbert) Collection,ark:/21198/z1kw7464,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_032.tif,32,,,,,,,,,Page 32,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw7464,
Grolinger (Herbert) Collection,ark:/21198/z1g46cf8,ark:/21198/zz002dwzpk,,,Page,herb_grolinger/image/21198-zz002dwzpk-1-master_033.tif,33,,,,,,,,,Page 33,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g46cf8,
