Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,Thumbnail,Type.typeOfResource,Type.genre,Subject,Name.repository,Name.creator,Name.subject,Subject geographic,Name.photographer,Rights.statementLocal,Rights.copyrightStatus,Date.creation,Date.normalized,Alt ID.local,Description.note,Subject temporal,Title,AltTitle.descriptive,Coverage.geographic,AltTitle.uniform,AltIdentifier.local,Language,Description.latitude,Description.longitude,Relation.isPartOf,Format.dimensions,Format.medium ,Format.extent,AltTitle.creator,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/9313wg1q,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255535_master.tif,16,,,,,,,,,,,,,,,,,,,,Page 16,,,,,,,,,,,,,failed,,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/bf07645z,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255559_master.tif,21,,,,,,,,,,,,,,,,,,,,Page 21,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2Fbf07645z,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/bk814n8z,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255580_master.tif,28,,,,,,,,,,,,,,,,,,,,Page 28,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2Fbk814n8z,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/cf490n5s,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255574_master.tif,26,,,,,,,,,,,,,,,,,,,,Page 26,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2Fcf490n5s,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/ck37675w,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255538_master.tif,17,,,,,,,,,,,,,,,,,,,,Page 17,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2Fck37675w,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/dt02m26m,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255315_master.tif,11,,,,,,,,,,,,,,,,,,,,Page 11,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2Fdt02m26m,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/f633v88j,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255565_master.tif,23,,,,,,,,,,,,,,,,,,,,Page 23,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2Ff633v88j,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/gg44qm3k,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255556_master.tif,20,,,,,,,,,,,,,,,,,,,,Page 20,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2Fgg44qm3k,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/kz451t02,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255300_master.tif,6,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2Fkz451t02,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/mg60gs5p,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255553_master.tif,19,,,,,,,,,,,,,,,,,,,,Page 19,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2Fmg60gs5p,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/mr48pc6x,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255550_master.tif,18,,,,,,,,,,,,,,,,,,,,Page 18,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2Fmr48pc6x,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/p8609b1t,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255571_master.tif,25,,,,,,,,,,,,,,,,,,,,Page 25,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2Fp8609b1t,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/qd086n6n,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255523_master.tif,12,,,,,,,,,,,,,,,,,,,,Page 12,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2Fqd086n6n,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/qd21990f,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255309_master.tif,9,,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2Fqd21990f,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/s3320n6h,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255294_master.tif,4,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2Fs3320n6h,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/tz471s2j,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255568_master.tif,24,,,,,,,,,,,,,,,,,,,,Page 24,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2Ftz471s2j,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/vx33kc30,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255562_master.tif,22,,,,,,,,,,,,,,,,,,,,Page 22,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2Fvx33kc30,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdpn5/w059mj4n,ark:/21198/zz002hdpn5,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdpn5_2255297_master.tif,5,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdpn5%2Fw059mj4n,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/0p279x63,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255601_master.tif,5,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2F0p279x63,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/17234h39,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255661_master.tif,25,,,,,,,,,,,,,,,,,,,,Page 25,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2F17234h39,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/2h328f7v,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255604_master.tif,6,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2F2h328f7v,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/3558hw3m,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255616_master.tif,10,,,,,,,,,,,,,,,,,,,,Page 10,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2F3558hw3m,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/4s20j472,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255637_master.tif,17,,,,,,,,,,,,,,,,,,,,Page 17,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2F4s20j472,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/5f036r2p,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255586_master.tif,2,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2F5f036r2p,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/5m332v4g,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255643_master.tif,19,,,,,,,,,,,,,,,,,,,,Page 19,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2F5m332v4g,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/8c58kr27,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255619_master.tif,11,,,,,,,,,,,,,,,,,,,,Page 11,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2F8c58kr27,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/8x03nn1m,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255655_master.tif,23,,,,,,,,,,,,,,,,,,,,Page 23,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2F8x03nn1m,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/cw87vv1g,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255649_master.tif,21,,,,,,,,,,,,,,,,,,,,Page 21,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2Fcw87vv1g,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/d224jq30,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255622_master.tif,12,,,,,,,,,,,,,,,,,,,,Page 12,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2Fd224jq30,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/fh12148p,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255583_master.tif,1,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2Ffh12148p,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/gj376d78,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255595_master.tif,3,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2Fgj376d78,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/gk11vm7t,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255625_master.tif,13,,,,,,,,,,,,,,,,,,,,Page 13,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2Fgk11vm7t,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/gp81mv1r,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255613_master.tif,9,,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2Fgp81mv1r,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/h322q923,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255664_master.tif,26,,,,,,,,,,,,,,,,,,,,Page 26,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2Fh322q923,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/hw67vv9b,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255631_master.tif,15,,,,,,,,,,,,,,,,,,,,Page 15,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2Fhw67vv9b,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/mk21cf06,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255646_master.tif,20,,,,,,,,,,,,,,,,,,,,Page 20,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2Fmk21cf06,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/n715r608,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255673_master.tif,29,,,,,,,,,,,,,,,,,,,,Page 29,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2Fn715r608,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/nh661526,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255670_master.tif,28,,,,,,,,,,,,,,,,,,,,Page 28,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2Fnh661526,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/nj56p71t,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255658_master.tif,24,,,,,,,,,,,,,,,,,,,,Page 24,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2Fnj56p71t,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/ns91wd3z,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255598_master.tif,4,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2Fns91wd3z,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/pq245m3h,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255652_master.tif,22,,,,,,,,,,,,,,,,,,,,Page 22,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2Fpq245m3h,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/qm26b960,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255634_master.tif,16,,,,,,,,,,,,,,,,,,,,Page 16,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2Fqm26b960,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/rh798h6j,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255610_master.tif,8,,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2Frh798h6j,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/tq324j36,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255667_master.tif,27,,,,,,,,,,,,,,,,,,,,Page 27,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2Ftq324j36,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/vm151m5k,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255628_master.tif,14,,,,,,,,,,,,,,,,,,,,Page 14,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2Fvm151m5k,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/wk73bc7x,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255607_master.tif,7,,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2Fwk73bc7x,
Bake/Jairazbhoy Digital Archive of South Asian Traditional Music and Arts,ark:/21198/zz002hdrjk/zv291t5q,ark:/21198/zz002hdrjk,,,Page,Bake-Jairazbhoy/image/srgb/21198-zz002hdrjk_2255640_master.tif,18,,,,,,,,,,,,,,,,,,,,Page 18,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdrjk%2Fzv291t5q,
