"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Rights.copyrightStatus","Language","Rights.publicationStatus","Subject.conceptTopic","Name.contributor","Type.genre","Title","Date.normalized","Date.creation","AltTitle.uniform","Alt ID.oclc","Description.note","Alt ID.OPAC","Publisher.placeOfOrigin","Publisher.publisherName","Format.extent","Alt ID.lccn","Relation.isPartOf"
"Organizacion Obrera, La","ark:/21198/zz00292jbm","ark:/21198/zz00292j72","2","Completed","ChildWork","organ/image/21198-zz00292jbm_1964250_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292jc4","ark:/21198/zz00292j72","2","Completed","ChildWork","organ/image/21198-zz00292jc4_1964255_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292jdn","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz00292jdn-1-master.pdf","9","","","text","pd","","published","","","newspapers","Aparece cuando puede 1 julio 1912","07-01-1912","1 julio 1912","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292jf5","ark:/21198/zz00292jdn","2","Completed","ChildWork","organ/image/21198-zz00292jf5_1964262_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292jgp","ark:/21198/zz00292jdn","2","Completed","ChildWork","organ/image/21198-zz00292jgp_1964265_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292jh6","ark:/21198/zz00292jdn","2","Completed","ChildWork","organ/image/21198-zz00292jh6_1964270_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292jjq","ark:/21198/zz00292jdn","2","Completed","ChildWork","organ/image/21198-zz00292jjq_1964276_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292jk7","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz00292jk7-1-master.pdf","10","","","text","pd","","published","","","newspapers","Epoca 2, número 1. 1 mayo 1915","05-01-1915","1 mayo 1915","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292jmr","ark:/21198/zz00292jk7","2","Completed","ChildWork","organ/image/21198-zz00292jmr_1964282_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292jn8","ark:/21198/zz00292jk7","2","Completed","ChildWork","organ/image/21198-zz00292jn8_1964289_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292jps","ark:/21198/zz00292jk7","2","Completed","ChildWork","organ/image/21198-zz00292jps_1964294_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292jq9","ark:/21198/zz00292jk7","2","Completed","ChildWork","organ/image/21198-zz00292jq9_1964297_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292jrt","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz00292jrt-1-master.pdf","11","","","text","pd","","published","","","newspapers","Epoca 2, número 2. 1 agosto 1915","08-01-1915","1 agosto 1915","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292k82","ark:/21198/zz00292jrt","2","Completed","ChildWork","organ/image/21198-zz00292k82_1964300_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292k9k","ark:/21198/zz00292jrt","2","Completed","ChildWork","organ/image/21198-zz00292k9k_1964304_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292kb3","ark:/21198/zz00292jrt","2","Completed","ChildWork","organ/image/21198-zz00292kb3_1964310_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292kcm","ark:/21198/zz00292jrt","2","Completed","ChildWork","organ/image/21198-zz00292kcm_1964316_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292kfn","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz00292kfn-1-master.pdf","12","","","text","pd","","published","","","newspapers","Año 3, número 111. 20 diciembre, 1919","12-20-1919","20 diciembre 1919","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292kg5","ark:/21198/zz00292kfn","2","Completed","ChildWork","organ/image/21198-zz00292kg5_1964324_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292khp","ark:/21198/zz00292kfn","2","Completed","ChildWork","organ/image/21198-zz00292khp_1964328_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292kj6","ark:/21198/zz00292kfn","2","Completed","ChildWork","organ/image/21198-zz00292kj6_1964334_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292kkq","ark:/21198/zz00292kfn","2","Completed","ChildWork","organ/image/21198-zz00292kkq_1964339_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292km7","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz00292km7-1-master.pdf","13","","","text","pd","","published","","","newspapers","Año 3, número 112. 27 diciembre 1919","12-27-1919","27 diciembre 1919","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292knr","ark:/21198/zz00292km7","2","Completed","ChildWork","organ/image/21198-zz00292knr_1964346_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292kp8","ark:/21198/zz00292km7","2","Completed","ChildWork","organ/image/21198-zz00292kp8_1964352_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292kqs","ark:/21198/zz00292km7","2","Completed","ChildWork","organ/image/21198-zz00292kqs_1964357_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292kr9","ark:/21198/zz00292km7","2","Completed","ChildWork","organ/image/21198-zz00292kr9_1964361_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292kst","ark:/21198/zz00292km7","2","Completed","ChildWork","organ/image/21198-zz00292kst_1964367_master.tif","5","","","","pd","","published","","","","page 5","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292ktb","ark:/21198/zz00292km7","2","Completed","ChildWork","organ/image/21198-zz00292ktb_1964373_master.tif","6","","","","pd","","published","","","","page 6","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292kvv","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz00292kvv-1-master.pdf","14","","","text","pd","","published","","","newspapers","Año 3, número 120. 28 febrero 1920","02-28-1920","28 febrero 1920","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292kwc","ark:/21198/zz00292kvv","2","Completed","ChildWork","organ/image/21198-zz00292kwc_1964381_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292kxw","ark:/21198/zz00292kvv","2","Completed","ChildWork","organ/image/21198-zz00292kxw_1964387_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292kzd","ark:/21198/zz00292kvv","2","Completed","ChildWork","organ/image/21198-zz00292kzd_1964393_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292m0d","ark:/21198/zz00292kvv","2","Completed","ChildWork","organ/image/21198-zz00292m0d_1964396_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292m2f","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz00292m2f-1-master.pdf","15","","","text","pd","","published","","","newspapers","Año 4, número 159. 4 diciembre 1920","12-04-1920","4 diciembre 1920","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292m3z","ark:/21198/zz00292m2f","2","Completed","ChildWork","organ/image/21198-zz00292m3z_1964402_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292m4g","ark:/21198/zz00292m2f","2","Completed","ChildWork","organ/image/21198-zz00292m4g_1964405_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292m50","ark:/21198/zz00292m2f","2","Completed","ChildWork","organ/image/21198-zz00292m50_1964411_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292m6h","ark:/21198/zz00292m2f","2","Completed","ChildWork","organ/image/21198-zz00292m6h_1964414_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292nzc","ark:/21198/zz00292m2f","2","Completed","ChildWork","organ/image/21198-zz00292nzc_1964430_master.tif","5","","","","pd","","published","","","","page 5","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292p0c","ark:/21198/zz00292m2f","2","Completed","ChildWork","organ/image/21198-zz00292p0c_1964437_master.tif","6","","","","pd","","published","","","","page 6","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292p1w","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz00292p1w-1-master.pdf","16","","","text","pd","","published","","","newspapers","Año 4, número 160. 11 diciembre 1920","12-11-1920","11 diciembre 1920","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292p2d","ark:/21198/zz00292p1w","2","Completed","ChildWork","organ/image/21198-zz00292p2d_1964446_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292p3x","ark:/21198/zz00292p1w","2","Completed","ChildWork","organ/image/21198-zz00292p3x_1964450_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292p4f","ark:/21198/zz00292p1w","2","Completed","ChildWork","organ/image/21198-zz00292p4f_1964456_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292p5z","ark:/21198/zz00292p1w","2","Completed","ChildWork","organ/image/21198-zz00292p5z_1964461_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292p6g","ark:/21198/zz00292p1w","2","Completed","ChildWork","organ/image/21198-zz00292p6g_1964465_master.tif","5","","","","pd","","published","","","","page 5","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292p70","ark:/21198/zz00292p1w","2","Completed","ChildWork","organ/image/21198-zz00292p70_1964470_master.tif","6","","","","pd","","published","","","","page 6","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292p8h","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz00292p8h-1-master.pdf","17","","","text","pd","","published","","","newspapers","Año 4, número 207. 12 noviembre 1921","11-12-1921","12 noviembre 1921","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292p91","ark:/21198/zz00292p8h","2","Completed","ChildWork","organ/image/21198-zz00292p91_1964477_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292pbj","ark:/21198/zz00292p8h","2","Completed","ChildWork","organ/image/21198-zz00292pbj_1964483_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292pc2","ark:/21198/zz00292p8h","2","Completed","ChildWork","organ/image/21198-zz00292pc2_1964486_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292pdk","ark:/21198/zz00292p8h","2","Completed","ChildWork","organ/image/21198-zz00292pdk_1964492_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292pf3","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz00292pf3-1-master.pdf","18","","","text","pd","","published","","","newspapers","Año 4, número 208. 19 noviembre 1921","11-19-1921","19 noviembre 1921","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292pgm","ark:/21198/zz00292pf3","2","Completed","ChildWork","organ/image/21198-zz00292pgm_1964498_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292ph4","ark:/21198/zz00292pf3","2","Completed","ChildWork","organ/image/21198-zz00292ph4_1964503_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292pjn","ark:/21198/zz00292pf3","2","Completed","ChildWork","organ/image/21198-zz00292pjn_1964507_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292pk5","ark:/21198/zz00292pf3","2","Completed","ChildWork","organ/image/21198-zz00292pk5_1964513_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292pmp","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz00292pmp-1-master.pdf","19","","","text","pd","","published","","","newspapers","Año 4, número 209. 26 noviembre 1921","11-26-1921","26 noviembre 1921","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292pn6","ark:/21198/zz00292pmp","2","Completed","ChildWork","organ/image/21198-zz00292pn6_1964521_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292ppq","ark:/21198/zz00292pmp","2","Completed","ChildWork","organ/image/21198-zz00292ppq_1964527_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292pq7","ark:/21198/zz00292pmp","2","Completed","ChildWork","organ/image/21198-zz00292pq7_1964530_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292prr","ark:/21198/zz00292pmp","2","Completed","ChildWork","organ/image/21198-zz00292prr_1964536_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292ps8","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz00292ps8-1-master.pdf","20","","","text","pd","","published","","","newspapers","Año 4, número 210. 3 diciembre 1921","12-03-1921","3 diciembre 1921","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292pts","ark:/21198/zz00292ps8","2","Completed","ChildWork","organ/image/21198-zz00292pts_1964540_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292pv9","ark:/21198/zz00292ps8","2","Completed","ChildWork","organ/image/21198-zz00292pv9_1964551_master.tif","3","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292pxb","ark:/21198/zz00292ps8","2","Completed","ChildWork","organ/image/21198-zz00292pxb_1964554_master.tif","2","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292pzv","ark:/21198/zz00292ps8","2","Completed","ChildWork","organ/image/21198-zz00292pzv_1964558_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292q0v","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz00292q0v-1-master.pdf","21","","","text","pd","","published","","","newspapers","Año 4, número 211. 10 diciembre 1921","12-10-1921","10 diciembre 1921","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292q1c","ark:/21198/zz00292q0v","2","Completed","ChildWork","organ/image/21198-zz00292q1c_1964566_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292q2w","ark:/21198/zz00292q0v","2","Completed","ChildWork","organ/image/21198-zz00292q2w_1964590_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
