"Project Name","Parent ARK","Item ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Delete in Title","Type.typeOfResource","Rights.copyrightStatus","Language","Rights.publicationStatus","Subject.conceptTopic","Name.contributor","Type.genre","Title","Date.normalized","Date.creation","AltTitle.uniform","Alt ID.oclc","Description.note","OPAC URL","Place of origin","Publisher.publisherName","Format.extent","Alt ID.lccn","Relation.isPartOf","IIIF Manifest URL"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz00292jk7","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Epoca 2, número 1. 1 mayo 1915","1915-05-01","1 mayo 1915","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00292jk7/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz00292jrt","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Epoca 2, número 2. 1 agosto 1915","1915-08-01","1 agosto 1915","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00292jrt/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz00292kfn","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 3, número 111. 20 diciembre, 1919","1919-12-20","20 diciembre 1919","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00292kfn/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz00292km7","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 3, número 112. 27 diciembre 1919","1919-12-27","27 diciembre 1919","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00292km7/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz00292kvv","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 3, número 120. 28 febrero 1920","1920-02-28","28 febrero 1920","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00292kvv/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz00292m2f","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 4, número 159. 4 diciembre 1920","1920-12-04","4 diciembre 1920","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00292m2f/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz00292p1w","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 4, número 160. 11 diciembre 1920","1920-12-11","11 diciembre 1920","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00292p1w/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz00292p8h","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 4, número 207. 12 noviembre 1921","1921-11-12","12 noviembre 1921","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00292p8h/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz00292pf3","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 4, número 208. 19 noviembre 1921","1921-11-19","19 noviembre 1921","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00292pf3/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz00292pmp","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 4, número 209. 26 noviembre 1921","1921-11-26","26 noviembre 1921","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00292pmp/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz00292ps8","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 4, número 210. 3 diciembre 1921","1921-12-03","3 diciembre 1921","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00292ps8/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz00292q0v","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 4, número 211. 10 diciembre 1921","1921-12-10","10 diciembre 1921","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00292q0v/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz00292q5f","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 5, número 215. 7 enero 1922","1922-01-07","7 enero 1922","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00292q5f/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz00292qb1","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 5, número 216. 14 enero 1922","1922-01-14","14 enero 1922","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00292qb1/manifest"
"Organizacion Obrera, La","ark:/21198/zz0028tdrb","ark:/21198/zz00292qhm","10","Completed with minimal metadata","Work","","","","paged","","text","pd","spa","published","","","newspapers","Año 5, número 217. 21 enero 1922","1922-01-21","21 diciembre 1922","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00292qhm/manifest"
