Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,viewingHint,Type.typeOfResource,Rights.copyrightStatus,Name.sponsor,Name.subject,Rights.servicesContact,Subject.conceptTopic,Type.genre,Language,Name.repository,Name.designer,Subject.uniformTitle,Name.photographer,Name.creator,Subject.geographicPlace,Coverage.geographic,Description.note,Date.normalized,Publisher.placeOfOrigin,AltTitle.uniform,Title,Date.creation,Alt ID.local,Format.extent,Description.caption,AltTitle.parallel,AltTitle.other,Publisher.publisherName,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Ethiopian Posters,ark:/21198/zz002hhfwr,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box03_folder021_002.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark # 21198/zz002hhfv7,,ucla_1922_box03_folder021_002,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhfwr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hhfwr/manifest
Ethiopian Posters,ark:/21198/zz002hhfzs,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box03_folder021_004.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark # 21198/zz002hhfx8,,ucla_1922_box03_folder021_004,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhfzs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hhfzs/manifest
Ethiopian Posters,ark:/21198/zz002hhjkj,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box04_folder003_010.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark # 21198/zz002hh8ck,,ucla_1922_box04_folder003_010,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhjkj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hhjkj/manifest
Ethiopian Posters,ark:/21198/zz002hhmcd,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box04_folder008_007.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark #21198/zz002hhmbw,,ucla_1922_box04_folder008_007,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhmcd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hhmcd/manifest
Ethiopian Posters,ark:/21198/zz002hhn27,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box04_folder010_007.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark #21198/zz002hhn1q,,ucla_1922_box04_folder010_007,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhn27,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hhn27/manifest
Ethiopian Posters,ark:/21198/zz002hhqq1,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box04_folder016_008.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark #21198/zz002hhdr6,,ucla_1922_box04_folder016_008,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhqq1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hhqq1/manifest
Ethiopian Posters,ark:/21198/zz002hhwds,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box05_folder007_002.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark #21198/zz002hhwc8,,ucla_1922_box05_folder007_002,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhwds,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hhwds/manifest
Ethiopian Posters,ark:/21198/zz002hhz4m,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box05_folder011_006.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark #21198/zz002hhz33,,ucla_1922_box05_folder011_006,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhz4m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hhz4m/manifest
Ethiopian Posters,ark:/21198/zz002hj04j,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box05_folder014_004.tif,,true,,,private,,still image,,,,,,posters,eng,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark #21198/zz002hj031,,ucla_1922_box05_folder014_004,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hj04j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hj04j/manifest
Ethiopian Posters,ark:/21198/zz002hj0n9,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box05_folder015_009.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark #21198/zz002hj06k,,ucla_1922_box05_folder015_009,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hj0n9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hj0n9/manifest
Ethiopian Posters,ark:/21198/zz002hj183,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box05_folder016_017.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark #21198/zz002hj17k & 21198/zz002hj19m,,ucla_1922_box05_folder016_017,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hj183,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hj183/manifest
Ethiopian Posters,ark:/21198/zz002hj19m,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box05_folder016_018.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark #21198/zz002hj17k & 21198/zz002hj183,,ucla_1922_box05_folder016_018,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hj19m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hj19m/manifest
Ethiopian Posters,ark:/21198/zz002hp4tm,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box06_folder009_011.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark # 21198/zz002hp4s3,,ucla_1922_box06_folder009_011,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hp4tm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hp4tm/manifest
Ethiopian Posters,ark:/21198/zz002hp4x5,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box06_folder011_003.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark # 21198/zz002hp49v,,ucla_1922_box06_folder011_003,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hp4x5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hp4x5/manifest
Ethiopian Posters,ark:/21198/zz002hp50p,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box06_folder012_002.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,,,Ethiopia,,,,,DUP - See Ark # 21198/zz002hp4zp,,ucla_1922_box06_folder012_002,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hp50p,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hp50p/manifest
Ethiopian Posters,ark:/21198/zz002hp5xn,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box06_folder014_007.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark #21198/zz002hp5w4,,ucla_1922_box06_folder014_007,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hp5xn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hp5xn/manifest
Ethiopian Posters,ark:/21198/zz002hp6fw,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box06_folder017_003.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark #21198/zz002hp6dc,,ucla_1922_box06_folder017_003,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hp6fw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hp6fw/manifest
Ethiopian Posters,ark:/21198/zz002hp7vk,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box07_folder006_002.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark # 21198/zz002hp7t2,,ucla_1922_box07_folder006_002,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hp7vk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hp7vk/manifest
Ethiopian Posters,ark:/21198/zz002hpbhv,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box08_folder007_004.tif,,true,,,private,,still image,,,,,,posters,,,,,,,,Ethiopia,,,,,DUP - see Ark #21198/zz002hpbjc,,ucla_1922_box08_folder007_004,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hpbhv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hpbhv/manifest
Ethiopian Posters,ark:/21198/zz002hpcds,ark:/21198/zz002h77vr,5,Imported,Work,ethiopian_posters/image/ucla_1922_box08_folder009_010.tif,,true,,,private,,still image,,,,,,posters,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,,,Ethiopia,,,,,DUP - see Ark #21198/zz002hpcbr,,ucla_1922_box08_folder009_010,1 poster : col.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hpcds,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hpcds/manifest
