"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Rights.permission","Name.subject","Coverage.geographic","Name.creator","Subject","Rights.publicationNote","Language","Type.genre","Name.author","Name.contributor","Name.correspondent","Name.repository","Rights.permissionNote","Name.photographer","Title","Date.creation","Date.publication","Description.note","Date.normalized","Description.inscription","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178m9j","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178m9j_501040_master.tif","11","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 11","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178m9j",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178mb2","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178mb2_501046_master.tif","12","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 12","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178mb2",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178mck","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178mck_501052_master.tif","13","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 13","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178mck",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178md3","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178md3_501055_master.tif","14","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 14","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178md3",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178mfm","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178mfm_501059_master.tif","15","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 15","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178mfm",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178mg4","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178mg4_501064_master.tif","16","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 16","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178mg4",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178mhn","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178mhn_501068_master.tif","17","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 17","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178mhn",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178mj5","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178mj5_501073_master.tif","18","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 18","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178mj5",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178mkp","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178mkp_501076_master.tif","19","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 19","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178mkp",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178mm6","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178mm6_501082_master.tif","20","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 20","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178mm6",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178mnq","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178mnq_501088_master.tif","21","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 21","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178mnq",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178mp7","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178mp7_501091_master.tif","22","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 22","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178mp7",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178mqr","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178mqr_501094_master.tif","23","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 23","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178mqr",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178mr8","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178mr8_501097_master.tif","24","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 24","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178mr8",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178mss","ark:/21198/zz00178kwv","2","Completed","Page","wavav/images/masters/21198-zz00178mss_501100_master.tif","25","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 25","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178mss",""
